ID,Form_ID,Cognateset_ID,Source,source_comment,Comment
51,51,ashes-B,BurrowEmeneau1961[381],,DED4316
52,52,ashes-B,,Jordan,Identical to members of DED4316
53,53,ashes-B,BurrowEmeneau1961[DED4316],,
54,54,ashes-B,BurrowEmeneau1961[DED4316],,"B&E form: To. pu·Q ""The forms in brackets are probably, but not all necessarily, borrowed from Skt. DED (S, N) 3541"" But see note on cognate class."
55,55,ashes-B,BurrowEmeneau1961[DED4316],,"Lookalike with Kodava ""The forms in brackets are probably, but not all necessarily, borrowed from Skt. DED (S, N) 3541"" But see note on cognate class."
56,56,ashes-C,,Jordan,Self-identified
57,57,ashes-C,,Jordan,Self-identified
58,58,ashes-D,BurrowEmeneau1961[329],,DED3693
59,59,ashes-D,BurrowEmeneau1961[329],,DED3693
60,60,ashes-D,Andronov1964,,
61,61,ashes-F,,Kolipakam,apparent singleton
62,62,ashes-G,BurrowEmeneau1961[376],,DED4243
63,63,ashes-H,,Kolipakam,apparent singleton
64,64,bark-A,,Kolipakam,"high quality look alike of set - 3876(pg. 346), but not on DED list."
65,65,bark-A,,Kolipakam,"high quality look alike of set - 3876(pg. 346), but not on DED list."
66,66,bark-A,Andronov1964;BurrowEmeneau1961[346],,; set - 3876
67,67,bark-A,Andronov1964;BurrowEmeneau1961[346],,; set - 3876
68,68,bark-A,Andronov1964;BurrowEmeneau1961[346],,; DED3876
69,69,bark-B,Andronov1964,,
70,70,bark-C,BurrowEmeneau1961[74],,DED757
71,71,bark-D,,Kolipakam,"high quality look alike of DED4417(pg. 391), but not on DED list."
72,72,bark-D,BurrowEmeneau1961[391],,DED4417
73,73,bark-E,BurrowEmeneau1961[11],,set - 98
74,74,bark-F,,Kolipakam,self-identified
75,75,bark-G,,Kolipakam,self-identified
76,76,bark-H,,Kolipakam,self-identified
77,77,bark-I,,Kolipakam,self-identified
78,78,bark-J,BurrowEmeneau1961[313],,DED3559
79,79,bark-J,,Kolipakam,self-identified
80,80,bark-K,,Kolipakam,Self-identified
81,81,bark-K,,Kolipakam,self-identified
82,82,bark-L,,Kolipakam,No obvious cognate or entry in DED
83,83,bark-M,,Kolipakam,No obvious cognate or entry in DED
84,84,bark-N,,Kolipakam,No Obvious cognates or entry in DED
85,85,belly-A,BurrowEmeneau1961[474],,Set-5259
86,86,belly-A,BurrowEmeneau1961[474],,Set-5259
87,87,belly-A,BurrowEmeneau1961[474],,Set-5259
88,88,belly-A,BurrowEmeneau1961[474],,Set-5259
89,89,belly-A,,Kolipakam,"High quality look alike, but not in the list of DED 5259, pg: 474."
90,90,belly-A,,Kolipakam,"High quality look alike, but not in the list of DED 5259, pg: 474."
91,91,belly-B,,Kolipakam,"High quality look alike, but not in the list of DED 4494, pg: 397."
92,92,belly-B,,Dunn,reasonable lookalike
93,93,belly-B,Andronov1964,,
94,94,belly-B,BurrowEmeneau1961[397],,"Set-4494 DED form has Potte, but change from p>h (proto-dravidian to kannada) indicated."
95,95,belly-B,,Kolipakam,"High quality look alike, but not in the list of DED 4494, pg: 397."
96,96,belly-B,BurrowEmeneau1961[397],,"Set 4494 ""Ka. poṭṭe belly, paunch, stomach, womb; poḍe belly, pregnancy; puṭṭi belly. Tu. poṭṭè pregnancy; poṭṭebañji a pot-belly (bañji belly); boḍḍe stout man. Te. poṭṭa belly."""
97,97,belly-B,BurrowEmeneau1961[397],,Set-4494
98,98,belly-B,BurrowEmeneau1961[397],,Set-4494
99,99,belly-C,BurrowEmeneau1961[112],,Set-1198
100,100,belly-D,,Kolipakam,Self-Identified
101,101,belly-E,BurrowEmeneau1961[308],,Set-3507
102,102,belly-F,,Kolipakam,Self-Identified
103,103,belly-G,BurrowEmeneau1961[200],,DED2244
104,104,belly-H,BurrowEmeneau1961[371],,DED4193
105,105,belly-H,BurrowEmeneau1961[371],,DED4193
106,106,belly-H,BurrowEmeneau1961[371],,DED4193
107,107,belly-I,BurrowEmeneau1961[348],,DED3898
108,108,belly-J,,Kolipakam,No obvious cognates or entry in DED
109,109,belly-K,,Kolipakam,No obvious cognates or entry in DED
110,110,big-A,BurrowEmeneau1961[391],,DED4411
111,111,big-A,,Verkerk,high quality look-alike
112,112,big-A,BurrowEmeneau1961[391],,DED4411
113,113,big-A,,Dunn,High quality cognate candidate
114,114,big-A,BurrowEmeneau1961[DED4411],,"DED4411; ""Pa. berto big;"""
115,115,big-A,Andronov1964;BurrowEmeneau1961[DED4411],,"; DED4411; ""Ta. peru, perum, pēr great; peritu that which is great, big, large; greatly; periya large, great, elder, important; """
116,116,big-A,,Verkerk,"Not in DED4411, look-alike but doubtful"
117,117,big-A,Andronov1964;BurrowEmeneau1961[DED4411],,"; DED4411; ""Te. perũgu, per(u)gu, per(u)vu to grow, grow up, increase, accumulate, be augmented, expand, extend; perũguḍu growth, increase; perime, pemme greatness, power, authority; pērima grandeur, magnificence; pērimi greatness, eminence; pēru great, large, much; pēr(u)cu to increase, rise, swell; pekku many; pekkaṇḍru, pekkuru many persons; pekkuva increase, growth, development, excess; (inscr.) perddaḷ elders; pedda great, big, large, long, tall, old, senior, chief, respectable; an elder, superior, head man; peddayu adv. much, very, exceedingly; peddi mother's elder sister; peccu excess, addition; heccu, eccu increase, greatness; much, more, superior, excessive; vb. to increase, rise; penu (before consonant), penn- (before vowel) large, big, great; pencu to enlarge; pellu excessiveness, greatness; excessive, much, great; greatly, much, very; pellidamu greatness, excessiveness; peluca much, exceeding; pelucana greatness, excessiveness; bebbuli a royal tiger.; """
118,118,big-B,BurrowEmeneau1961[DED5276],,"DED5276; ""Koḍ. bala power, strength; balate right (hand); ballyë great."""
119,119,big-B,Andronov1964;BurrowEmeneau1961[DED5276],,"; DED5276; ""Ma. val, valu, valiya strong, powerful, great; valiyā forcibly, suddenly; valaṅ-kai right hand; valam the right or strong side; valippam, valima greatness, bigness; valluka to be able, strong; vallabham power, capacity; vanpu greatness, strength; vampikka to grow large, grow arrogant"""
120,120,big-B,,Verkerk,high-quality look-alike
121,121,big-C,,Verkerk,high quality look-alike
122,122,big-C,Andronov1964;BurrowEmeneau1961[DED3491],,"; DED3491; ""Ka. doḍḍa big, large, stout, thick, great, extensive, spacious, respectable, eminent, important, chief, principal, loud;"""
123,123,big-D,BurrowEmeneau1961[DED4729],,"DED4729; ""Tu. malla, mallavu, mallāvu great, large, big, extensive, chief, principal, important, loud;"""
124,124,big-E,,Verkerk,Cannot be related to any of the forms
125,125,big-F,,Dunn,apparent singleton
126,126,big-G,BurrowEmeneau1961[476],,DED5276
127,127,big-H,,Kolipakam,no other obvious cognates
128,128,big-I,,Kolipakam,No other cognate or entry in DED
129,129,big-J,,Kolipakam,No other cognate or entry in DED
130,130,bird-A,Andronov1964;BurrowEmeneau1961[DED4020],,"; DED4020: Ta. paṟa (paṟapp-, paṟant-) to fly, hover, flutter, move with celerity, hasten, be in a hurry, be greatly agitated, be scattered, dispersed, disappear; paṟapaṟa (-pp-, -tt-) to hasten, hurry; paṟati over-hastiness, over-anxiety; paṟappaṉ hasty person; paṟappu flying, haste, anxiety; paṟappai, paṟal bird; paṟavai bird, wing, feather, bee; paṟi (-v-, -nt-) to run away (as a horse), flow out quickly, be displaced suddenly, give way, fly off (as steam), be discharged (as an arrow); paṟai flying, wing, feather, bird; pāṟu (pāṟi-) to run, flee, be scattered, give way, be in disorder, cross over; n. hawk, kite, falcon, eagle; ruin; pāṟal heavy shower; bull (cf. meaning of Ka. vb. pāṟu)."
131,131,bird-A,BurrowEmeneau1961[358],,"set-4020 - Not listed in the DED form: To. po·ṟ- (po·ṟy-) to fly; po·ṯ- (po·ṯy-) to teach (young) to fly; o·ṟc- (o·ṟ&cangle;-) to throw in air and catch (jackstraws, coins). Could be a loanword from Tamil?"
132,132,bird-B,,Dunn,Clear cognate to loans in other languages
133,133,bird-B,Andronov1964,,
134,134,bird-B,,Kolipakam,Same as loan word in closely related language
135,135,bird-B,,Kolipakam,Same as loan word in closely related language - Andronov
136,136,bird-B,,Kolipakam,similar to other forms
137,137,bird-B,Andronov1964,,Loanword according to Andronov
138,138,bird-B,Andronov1964,,Loanword according to Andronov
139,139,bird-B,,Kolipakam,Same as loan word in closely related language - Andronov
140,140,bird-B,,Kolipakam,Same as loan word in closely related language - Andronov
141,141,bird-C,BurrowEmeneau1961[368],,DED4154
142,142,bird-C,BurrowEmeneau1961[368],,DED4154
143,143,bird-C,,Verkerk,high quality look-alike
144,144,bird-C,Andronov1964;BurrowEmeneau1961[DED4154],,; DED4154
145,145,bird-D,BurrowEmeneau1961[DED1584],,"DED1584: Ta. kiḷi, kiḷḷai parrot."
146,146,bird-E,,Kolipakam,Doubtful translation
147,147,bird-F,,Kolipakam,No obvious cognates or entry in DED
148,148,bird-G,,Kolipakam,No obvious cognates or entry in DED
149,149,bird-H,,Kolipakam,No obvious cognates or entry in DED
150,150,bird-I,BurrowEmeneau1961[286],,DED3275
151,151,bite-A,,Dunn,clear cognate
152,152,bite-A,BurrowEmeneau1961,,DED1124
153,153,bite-A,Andronov1964,,
154,154,bite-A,BurrowEmeneau1961[DED1124],,
155,155,bite-A,BurrowEmeneau1961,,DED1124
156,156,bite-A,Andronov1964;BurrowEmeneau1961[DED1124],,; -kkuga is a verb ending (from online Malayalam dictionaries)
157,157,bite-A,Andronov1964;BurrowEmeneau1961[DED1024],,; 
158,158,bite-A,BurrowEmeneau1961[DED1124],,Identical to DED forms
159,159,bite-B,,Dunn,No evidence to linking this to any other class
160,160,bite-C,,Kolipakam,No obvious cognate or entry in DED
161,161,bite-D,,Dunn,Good quality lookalike to DED2164
162,162,bite-D,Andronov1964;BurrowEmeneau1961[DED2164],,; 
163,163,bite-D,BurrowEmeneau1961[DED2164],,
164,164,bite-F,,Dunn,Identical to sister Kannada term from DED
165,165,bite-F,BurrowEmeneau1961,,DED1097
166,166,bite-F,BurrowEmeneau1961[DED1097],,
167,167,bite-F,,Dunn,Identical to sister Kannada term from DED
168,168,bite-F,,Kolipakam,high quality look alike to 1097
169,169,bite-F,BurrowEmeneau1961,,DED1097
170,170,bite-G,,Dunn,No evidence to linking this to any other class
171,171,bite-H,,Kolipakam,No obvious cogante or entry in DED
172,172,black-A,,Jordan,Lookalike with members of DED1395
173,173,black-A,,Jordan,Lookalike with members of DED1395
174,174,black-A,Buck1949[130],,DED1395
175,175,black-A,BurrowEmeneau1961[DED1395],,"B&E form: kaṟe, kaṟi blackness, the colour black, stain, blot; kaṟṟage, kaṟṟane blackly, blackness; karpu, kappu blackness"
176,176,black-A,BurrowEmeneau1961[DED1395],,"B&E form: Koḍ. kara- (karap-, karat-) to become black; karapï blackness; karatë black; kare stain More likely to be a member of DED1395 than DED1278"
177,177,black-A,Buck1949[130],,DED1395
178,178,black-A,,Jordan,Lookalike with members of DED1395
179,179,black-A,Andronov1964;BurrowEmeneau1961[DED1395],,"; B&E form: kaṟuppu, kaṟu"
180,180,black-A,BurrowEmeneau1961[DED1395],,"1395 Ta. kaṟu (-pp-, -tt-) to grow black, darken, ... kaṟukaṟu (-pp-, -tt-) to become very black; kaṟuppaṉ black man, a demon; kaṟuppu blackness, darkness, spot, taint, moral defect Some confusion with DED1278 kar-"
181,181,black-A,BurrowEmeneau1961[DED1395],,"B&E form: kaṟf- (kaṟt-) to become black, dark; kap black dot"
182,182,black-A,BurrowEmeneau1961[DED1395],,"This is ""to become black"". DED1278 lists Tu. kardů ""black"""
183,183,black-A,,Jordan,Lookalike with members of DED1395
184,184,black-B,,Jordan,Lookalike with e.g. Telugu nalla and other members of DED3613
185,185,black-B,BurrowEmeneau1961[DED3613],,
186,186,black-B,BurrowEmeneau1961[DED3613],,
187,187,black-C,,Kolipakam,apparent singleton. No entry in DED
188,188,black-D,BurrowEmeneau1961[DED4781],,"Br. maun black, dark (of night)."
189,189,black-D,BurrowEmeneau1961[DED4781],,"Kui māsu dusk, twilight. Kur. māxā night; māxnā to grow dark, be overtaken by night; mōxārō black, dark-complexioned."
190,190,black-E,BurrowEmeneau1961[DED1278],,"B&E form: Ka. kari to be scorched, singed, charred; fry, roast; n. state of being scorched, frying, blackness, charcoal; karaku, kariku state of being scorched; karidu black; kar-, ka- id.; kargu to turn black (or with 1494 Ta. kār̤); kare blackness Unclear whether this is a member of DED1278 or DED1395"
191,191,black-F,,Kolipakam,apparent singleton. no entry in DED
192,192,black-G,,Kolipakam,apparent singleton. no entry in DED
193,193,blood-A,,Dunn,obvious shared form with sister languages
194,194,blood-A,Andronov1964,,
195,195,blood-A,Andronov1964,,
196,196,blood-A,Andronov1964,,
197,197,blood-A,Andronov1964,,
198,198,blood-B,,Kolipakam,"High quality look alike to set - 3748 (pg.335), but not in DED list."
199,199,blood-B,,Kolipakam,High quality lookalike to set - 3748
200,200,blood-B,BurrowEmeneau1961[335],,DED3748
201,201,blood-B,BurrowEmeneau1961[335],,DED3748
202,202,blood-B,BurrowEmeneau1961[335],,DED3748
203,203,blood-B,BurrowEmeneau1961[335],,DED3748
204,204,blood-B,,Kolipakam,"High quality look alike to set - 3748 (pg.335), but not in DED list."
205,205,blood-B,BurrowEmeneau1961[335],,DED3748
206,206,blood-B,BurrowEmeneau1961[335],,DED3748
207,207,blood-B,Andronov1964;BurrowEmeneau1961[335],,; set - 3748
208,208,blood-B,BurrowEmeneau1961[335],,set - 3748
209,209,blood-B,BurrowEmeneau1961[335],,set - 3748
210,210,blood-C,BurrowEmeneau1961[175],,DED1931
211,211,blood-D,BurrowEmeneau1961[250],,set - 2883
212,212,blood-D,BurrowEmeneau1961[250],,set - 2883
213,213,blood-D,,Kolipakam,"High quality look alike to set - 2883 (pg.250), but not in DED list."
214,214,blood-E,BurrowEmeneau1961[482],,set -5334
215,215,blood-F,,Kolipakam,No obvious cognates or entry in DED
216,216,bone-A,,Kolipakam,High quality look alike of set - 839 (pg. 81) but not in DED list
217,217,bone-A,BurrowEmeneau1961[81],,DED839
218,218,bone-A,Andronov1964;BurrowEmeneau1961[81],,; set - 839
219,219,bone-A,BurrowEmeneau1961[81],,DED839
220,220,bone-A,Andronov1964;BurrowEmeneau1961[81],,; set - 839
221,221,bone-A,Andronov1964;BurrowEmeneau1961[81],,; set - 839
222,222,bone-A,Andronov1964;BurrowEmeneau1961[81],,; set - 839
223,223,bone-A,BurrowEmeneau1961[81],,set - 839
224,224,bone-A,BurrowEmeneau1961[81],,set - 839
225,225,bone-B,BurrowEmeneau1961[400],,DED4528
226,226,bone-B,BurrowEmeneau1961[400],,DED4528
227,227,bone-B,BurrowEmeneau1961[400],,set - 4528
228,228,bone-B,,Kolipakam,High quality look alike of set -4528 (pg. 400) but not in DED list
229,229,bone-B,Andronov1964;BurrowEmeneau1961[400],,; set - 4528
230,230,bone-B,BurrowEmeneau1961[400],,set - 4528
231,231,bone-C,BurrowEmeneau1961[DED1288],,Initial q in DED corresponds to zero in this list
232,232,bone-D,BurrowEmeneau1961[456],,set -5050
233,233,bone-D,BurrowEmeneau1961[456],,set -5050
234,234,bone-D,,Kolipakam,High quality look alike of set - 5050 (pg. 456) but not in DED list
235,235,bone-E,,Kolipakam,Self-identified
236,236,bone-F,BurrowEmeneau1961,,DED1296
237,237,bone-G,,Kolipakam,no obvious cognates or entry in DED
238,238,breast-A,,Dunn,Clear lookalike
239,239,breast-A,Andronov1964;BurrowEmeneau1961[DED4818],,"; Ma. mār, mārvvu, māṟu chest; fathom."
240,240,breast-A,Andronov1964;BurrowEmeneau1961[DED4818],,"; Ta. mār breast, chest; fathom; mārpu bosom, breast, chest, woman's breas"
241,241,breast-A,BurrowEmeneau1961[DED4818],,"Ta. mār breast, chest; fathom; mārpu bosom, breast, chest, woman's breas"
242,242,breast-B,Andronov1964;BurrowEmeneau1961[DED827],,; 
243,243,breast-B,,Dunn,Good lookalike
244,244,breast-B,BurrowEmeneau1961[DED827],,"Pa. edram, edrom chest."
245,245,breast-C,Andronov1964,,
246,246,breast-E,,Dunn,"Singleton. Not in DED, no other apparent cognates."
247,247,breast-F,BurrowEmeneau1961[DED4985],,Koḍ. mole breast.
248,248,breast-F,BurrowEmeneau1961[448],,DED4985
249,249,breast-F,BurrowEmeneau1961[DED4985],,
250,250,breast-F,,Dunn,Identical to close relative DED4985
251,251,breast-G,,Dunn,not in DED
252,252,breast-G,,Dunn,not in DED
253,253,breast-G,,Dunn,not in DED
254,254,breast-H,BurrowEmeneau1961[DED3206],,"Tu. tigalè 'breast, chest'; Ka. (PBh.) tegale 'chest'."
255,255,breast-I,,Dunn,apparent singleton
256,256,breast-J,,Kolipakam,no obvious cogante or entry in DED
257,257,breast-K,,Kolipakam,No obvious cognates or entry in DED
258,258,breast-L,,Kolipakam,No obvious cognate or entry in DED
259,259,breast-M,,Kolipakam,No obvious cognate or entry in DED
260,260,breast-N,,Kolipakam,No obvious cognate or entry in DED
261,261,breast-O,,Kolipakam,No obvious cognate or entry in DED
262,262,breast-P,,Kolipakam,No obvious cognate or entry in DED
263,263,burn-A,,Kolipakam,Self-identified. Not similar to any other cognate class
264,264,burn-B,BurrowEmeneau1961[139],,"DED1500 Te. kālu to burn, be burnt, scalded, scorched, baked"
265,265,burn-C,BurrowEmeneau1961[230],,"DED2654 Ka. suḍu (suṭṭ-) to burn, roast, bake, fire (a gun); be consumed with fire, burn, feel hot, be roasted; n. burning, etc."
266,266,burn-C,BurrowEmeneau1961[230],,DED2654 Koḍ. cuḍ- (cuḍuv- cuṭṭ-) to burn (tr.)
267,267,burn-C,,Kolipakam,High quality look alike to DED2654
268,268,burn-D,BurrowEmeneau1961[80],,"DED811 Ta. eri (-v-, -nt-) to burn, blaze, shine, (sore or fever) burns, suffer a painful emotion;"
269,269,burn-E,,Kolipakam,high quality look alike to DED1207
270,270,burn-E,,Kolipakam,high quality look alike to DED1207
271,271,burn-E,BurrowEmeneau1961[113],,DED1207
272,272,burn-E,BurrowEmeneau1961[113],,"DED1207 Ma. kattuka to kindle, burn;"
273,273,burn-E,,Kolipakam,high quality look alike to DED1207
274,274,burn-F,,Kolipakam,High quality look alike to DED4680
275,275,burn-F,BurrowEmeneau1961[414],,"DED4680 Te. maṇḍu to burn, blaze, flame, cause or produce a burning pain, be angry, be in a fury or violent rage, be envious; maṇṭa flame, blaze, burning pain, anger, wrath, fury, envy;"
276,276,burn-G,,Kolipakam,not similar to any other cognate class
277,277,burn-H,BurrowEmeneau1961[135],,DED1458
278,278,burn-I,BurrowEmeneau1961[329],,DED3693
279,279,burn-J,,Kolipakam,apparent singleton. no entry in DED
280,280,burn-K,,Kolipakam,apparent singleton. no entry in DED
281,281,burn-L,,Kolipakam,apparent singleton. No entry in DED
282,282,claw-A,Andronov1964;Buck1949[245],,; IE *(o)nogh-
283,283,claw-A,Andronov1964;Buck1949[245],,; IE *(o)nogh-
284,284,claw-B,,Kolipakam,"High quality look alike to set - 561(pg,55), but not on DED list."
285,285,claw-B,,Kolipakam,DED561
286,286,claw-B,BurrowEmeneau1961[55],,DED561
287,287,claw-B,Andronov1964;BurrowEmeneau1961[55],,; set - 561
288,288,claw-B,BurrowEmeneau1961[55],,set - 561
289,289,claw-B,BurrowEmeneau1961[55],,DED561
290,290,claw-B,,Kolipakam,"High quality look alike to set - 561(pg,55), but not on DED list."
291,291,claw-B,BurrowEmeneau1961,,DED561
292,292,claw-B,BurrowEmeneau1961[55],,DED561
293,293,claw-B,BurrowEmeneau1961[55],,Set 561
294,294,claw-B,BurrowEmeneau1961[55],,set - 561
295,295,claw-B,Andronov1964;BurrowEmeneau1961[55],,; set - 561
296,296,claw-B,BurrowEmeneau1961[55],,set - 561
297,297,claw-B,BurrowEmeneau1961[55],,set - 561
298,298,claw-C,,Kolipakam,Self-identified
299,299,claw-D,,Kolipakam,
300,300,claw-D,,Kolipakam,"The suffix of the word is cognate to ""Goru"" - Set B"
301,301,claw-E,,Kolipakam,No obvious cognate or entry in DED
302,302,claw-F,,Kolipakam,No obvious cognate or entry in DED
303,303,cloud-A,Andronov1964;Buck1949[65],,; skt. megha
304,304,cloud-A,,Kolipakam,skt. megha
305,305,cloud-A,Andronov1964;Buck1949[65],,; skt. megha
306,306,cloud-A,Andronov1964;Buck1949[65],,; skt. megha
307,307,cloud-A,Andronov1964;Buck1949[65],,; skt. megha
308,308,cloud-A,Buck1949[65],Jordan,Identical to Tamil form; skt. megha
309,309,cloud-B,Andronov1964;BurrowEmeneau1961[437],,"; DED4892 Ta. mukil cloud. Ma. mukil id. To. nïs̱ muxuḷm mist on hills in morning (in song; see 3675). Ka. mugil cloud, series or bank of clouds; the sky. Tu. mugalů, mugaḷů cloud; mugaliyuni to become cloudy (the sky). Te. mogulu, moyilu cloud. Kol. morgar id. Pa. malgur id. Ga. (Oll. P.) mogul id., sky; (S.) moggul id. Go. (M.) moyol, (Ma.) moyol (pl. moyosk), (L.) muyol cloud (Voc. 2987); (LuS.) moyoolee a cloud; (Koya T.) moyyel id. DED(S) 4006."
310,310,cloud-C,BurrowEmeneau1961[418],,DED4728
311,311,cloud-C,BurrowEmeneau1961[DED4728],,
312,312,cloud-C,BurrowEmeneau1961[DED4728],,
313,313,cloud-D,,Jordan,Good lookalike with Tulu form: mōḍa DED5033
314,314,cloud-D,BurrowEmeneau1961[DED5033],,B&E form: mōḍa
315,315,cloud-D,BurrowEmeneau1961[DED5033],,B&E form: mo·ḍa
316,316,cloud-D,,Jordan,Form similar Kannada: mo:ɖa
317,317,cloud-D,BurrowEmeneau1961[DED5033],,B&E form: mōḍa
318,318,cloud-D,BurrowEmeneau1961[DED5033],,Identical to Kodava form: mo·ḍa
319,319,cloud-E,,Jordan,"Form similar to DED4641 e.g. Tamil: mancu, Ko. Manj"
320,320,cloud-F,,Kolipakam,possible loanword hindi - badal
321,321,cloud-F,,Kolipakam,possible loan word : hindi - badal
322,322,cloud-G,,Kolipakam,No apparent cognate or entry in DED
323,323,cloud-H,,Kolipakam,apparent singleton. no entry in ded
324,324,cloud-I,,Kolipakam,apparent singleton. no entry in ded
325,325,cloud-J,,Kolipakam,apparent singleton. no entry in DED
326,326,cold-A,Andronov1964,,Andronov form: taṇḍi
327,327,cold-A,BurrowEmeneau1961[DED3045],,B&E form: taṇi
328,328,cold-A,Andronov1964,,
329,329,cold-A,,Jordan,Lookalike with Kannada: taɳɳige
330,330,cold-B,Andronov1964,,
331,331,cold-C,,Kolipakam,High quality look alike
332,332,cold-C,,Jordan,Lookalike with Te: tʃalla
333,333,cold-C,Andronov1964,,
334,334,cold-C,,Jordan,Lookalike with Te: tʃalla
335,335,cold-D,BurrowEmeneau1961[360],,DED4035
336,336,cold-D,BurrowEmeneau1961,,DED4035
337,337,cold-D,Andronov1964;BurrowEmeneau1961[DED4035],,; 
338,338,cold-E,,Jordan,Self identified.
339,339,cold-E,,Jordan,Self identified.
340,340,cold-F,,Jordan,Self identified.
341,341,cold-G,,Jordan,"MIGHT be cognate with Kodava ""ko:ʈa"""
342,342,cold-G,BurrowEmeneau1961[195],,DED2168
343,343,cold-H,BurrowEmeneau1961[144],,DED1568
344,344,cold-H,BurrowEmeneau1961[144],,DED1568
345,345,cold-I,,Kolipakam,apparent singleton. no entry in DED
346,346,cold-I,,Kolipakam,no apparent cognate. No entry in DED
347,347,come-A,BurrowEmeneau1961[DED5270],,reasonable lookalike
348,348,come-A,BurrowEmeneau1961[DED5270],,clear cognate
349,349,come-A,BurrowEmeneau1961[476],,DED5270
350,350,come-A,BurrowEmeneau1961[476],,DED5270
351,351,come-A,Andronov1964;BurrowEmeneau1961[DED5270],,; 
352,352,come-A,BurrowEmeneau1961[DED5270],,
353,353,come-A,BurrowEmeneau1961[DED5270],,
354,354,come-A,BurrowEmeneau1961[476],,DED5270
355,355,come-A,BurrowEmeneau1961[DED5270],,
356,356,come-A,BurrowEmeneau1961[DED5270],,
357,357,come-A,BurrowEmeneau1961[476],,DED5270
358,358,come-A,Andronov1964;BurrowEmeneau1961[DED5270],,; 
359,359,come-A,BurrowEmeneau1961[475],,Set 5270
360,360,come-A,BurrowEmeneau1961[476],,DED5270
361,361,come-A,BurrowEmeneau1961[DED5270],Verkerk,; 
362,362,come-A,Andronov1964;BurrowEmeneau1961[DED5270],,; 
363,363,come-A,Andronov1964;BurrowEmeneau1961[DED5270],,; 
364,364,come-A,BurrowEmeneau1961[476],,DED5270
365,365,come-A,BurrowEmeneau1961[DED5270],,
