,af,ar,as,az,ba,be,bfq,bg,bn,bo,br,brh,ca,cs,cy,da,de,el,en,es,et,fa,fi,fo,fr,fy,ga,gd,gdb,gl,gon,gv,he,hi,hu,hy,id,is,it,ja,ka,kfa,kfb,kfe,kff,km,kn,ko,krl,kru,ku,kxv,la,lb,liv,lo,lt,lv,lzz,mjt,mk,ml,mn,ms,mt,my,nl,nn,ny,oc,pci,pl,ps,pt,ro,ru,sa,se,sk,sl,sq,sv,sva,ta,tcx,tcy,te,tg,th,tl,tr,ug,uk,ur,vep,vi,vot,vro,xmf,xub,yea,yi,za,zu
et,11.753261538097604,11.222147451314118,12.008951004030614,10.753842718128434,11.728262756458244,10.92769403028837,11.86262468117307,11.654685955985546,11.874979187479187,13.347785585799285,11.313314909297052,11.31138609890884,12.049359786928846,11.296886795577896,12.182830302728263,11.570214453935382,11.148369430511247,11.403309785452642,13.519655800452902,11.93493897474344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa,13.077527507215008,12.029083037095859,12.836778145601675,10.965086005264578,12.023082819957823,11.397036405153289,12.778407425907426,11.123819250056874,11.86160529777551,14.751696451696452,12.803558439196737,11.441695930332296,12.259343327612559,10.999758718709874,12.868261931305408,12.217822966507175,11.4127047195229,11.343158682014105,13.248838709183536,11.443316449175825,10.920763578319358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi,13.329920307379322,9.604650664835848,11.564456950735146,11.78098990956134,11.580673086312185,9.939738065917313,10.800926373507018,10.396526922689713,11.298580425984273,12.488894476908177,10.859295961974535,12.635179611339403,11.82991433060494,10.932774032250471,11.45825810621729,11.94089986241149,10.993618936069431,10.550388236102522,13.155993496573206,10.91490047041723,7.624792209937137,11.461453984374877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fo,13.506816283132073,11.243419520858545,13.076365301365302,13.773669232002565,13.160645253237847,11.030275784821239,11.8799336628284,11.539002116304749,11.978380746237889,13.692813852813854,11.677870206716362,12.304590548340547,12.860647244169973,11.592402519821873,12.52641100532667,11.148164545891818,10.782514999620263,11.008788433788434,12.423955963018463,11.658620391953725,13.141240559209308,12.665926665926667,11.461844349482215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr,11.37327608639084,13.60029058243344,12.763814363246182,13.344728188478188,13.914891395154552,14.31032869122492,15.437481751340448,12.451957439262127,12.125689669807318,13.744475687263762,12.451582395778825,15.106258792609895,9.174526091192758,13.207015060962428,12.372504683292355,11.668997452200578,11.96845657106851,14.515148313225238,12.027193410688557,13.022418280845246,12.686860065500841,13.468121384788052,12.983712350217203,14.10510987854738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fy,6.78197496947497,12.562271384945804,11.95449457949458,14.036747478711764,13.286165223665224,11.415321268769542,11.682373629954276,9.764794685990337,12.190497835497835,13.802946127946127,11.611842105263158,12.838287608448901,10.153237918544042,10.901906531623512,10.693628834933183,8.804180804180806,7.19845013477089,12.541451416451416,9.152951346347573,11.908998953116601,12.611664017324395,12.830344213866942,11.80015791336546,13.010319646683284,11.819283180132237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ga,11.892857142857142,14.503175146531788,13.680130603859418,14.4299568634675,13.395279054279055,14.43085106382979,15.401810354396563,13.335508535720399,12.221717171717174,16.003651278299166,12.982524676969119,15.053713724547057,13.066511445543705,13.750974452897532,12.731895821569733,12.712951257199045,12.989054318001687,14.482420357420356,12.143504853732127,14.631830176991466,14.004885345084206,14.339011448034006,14.039293645117509,14.827065791351504,13.147336631622347,12.146086212262684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd,11.027230432402847,15.525916764012,13.033769370725892,13.091447312377545,12.907683982683983,14.43569624819625,15.135997723207028,12.93003524253524,12.528985507246377,16.131236608509337,13.415757275132274,14.015411829332287,11.570755529710754,13.248015873015873,10.859274059274059,11.5909126984127,12.194110506610508,15.456839456839461,11.297739297739298,13.635228333757746,12.953754208754209,12.987020042104788,13.759373404373406,15.584660709660712,12.393465608465608,11.223516218081436,6.724702380952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gdb,12.906638781638781,11.340279165279165,12.449266662157289,12.409027480456052,11.824041568759878,11.10098376200071,10.923156294124038,11.207448070934912,13.275396825396825,13.44066408128908,12.771847943722943,12.582664189964067,13.31481552635399,11.694600393819144,12.297469097167893,12.607884681828343,11.051434534852904,11.727827727827728,13.532031319021115,11.324109193614689,12.673851092218438,12.974524940871094,11.13568999028183,12.298133116883117,15.594319912618884,11.284372745310245,13.976305593063836,12.76582892416226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gl,11.843938149972631,11.689729625213495,12.586479681934227,13.15546794475366,12.312294969987278,12.0730267995893,12.134860912034828,11.318427262392778,12.355446369869448,12.383583623166954,13.065456148789481,12.741539193666853,9.583657485831399,11.192299709422999,12.76903503242789,11.02921709809465,11.474627662127661,10.762798438934801,12.284760378510379,7.041029016825586,12.383315117544996,12.06489709121288,10.899780774780774,13.306016514349848,13.092092118407907,11.320852758352759,13.365680615680617,13.02116402116402,11.749412526008273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gon,12.15926640926641,11.034549825174825,11.440042162698413,12.488923774638058,12.276149320163404,10.860336462031379,10.774658585142456,12.200138129414444,10.831156806156805,14.009540806415806,12.034053186396937,12.785254727416643,13.409695310794213,11.63623326904577,12.924911266778736,12.024640265837448,11.83543709691669,11.405351702970748,13.39836410754778,10.91109363774199,12.035463402810343,13.647426113772267,11.61236849884809,12.09577320827321,15.604072760000594,11.934320887445887,14.933181897467612,13.492099567099569,9.89000058898018,11.828574498787265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gv,11.27841553287982,13.995954442383013,11.574594655990005,11.69329538773983,12.47335694608422,11.915764790764792,13.144080312049063,12.560878627545296,12.427422723475354,15.12902046783626,10.453078403078402,13.031735724592867,12.533681596181594,11.667247875581209,11.428463203463204,11.732749118165787,11.340792181069958,12.43655596540212,12.477922077922077,13.566721472971473,11.80901875901876,11.68990570153361,12.732946346582711,14.585959771935384,12.39163059163059,10.636904761904761,7.67612160566706,9.485784717927576,13.588492063492064,13.697242836528552,13.63015873015873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
he,10.652698412698411,8.687649276011344,10.639430014430014,11.999542499542502,11.803178210678212,10.902581004853733,11.799040851124184,10.930736444625333,10.870997058497059,12.047065897065899,9.797431734931735,12.66498778998779,10.891959630870922,11.325120625901874,11.54840735396291,12.055208333333333,10.807029082029082,10.700135311548355,12.371618638409682,10.626507599868257,11.76822783352634,12.48742531053852,11.04533609011221,12.077254202254203,12.737711572938844,11.086477015048445,13.012763836916381,13.462129054520359,11.098337700311385,11.763718820861678,10.728256027598132,13.5694616685996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hi,11.108504512916276,12.195326345110827,9.91434130106005,10.435482833139082,11.77218051046176,12.161080956080957,13.079355575930919,11.268462688105545,8.301319051319053,13.865900072150074,11.69934976947172,11.523914092443505,11.053826062826062,11.387716500855188,11.714133845952027,10.983698840841699,11.034182805921937,12.581865171865172,12.143084850531658,12.374829947829948,11.32880614263593,11.097992480001826,11.587344393195457,12.716695667399895,11.573602092352091,11.268546794114975,13.334035258453861,13.130246166263115,13.20774766169503,12.672575623964512,12.1169720265115,11.825667388167389,11.15611111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu,11.858234126984126,13.414881841910882,12.807750803489439,12.139273473058301,12.015854029011924,12.198642362928078,14.441434938687685,12.40239187895438,12.46129007158419,12.723214285714285,12.532041371327084,13.007000820816607,12.573652257974292,12.571744001771176,12.602371923986507,12.14678674500103,12.126282426890171,13.83767193231758,12.178830266955266,13.66584612070841,12.75804521867022,13.260191537289439,12.33867340992341,13.982179808495598,12.951859837538228,12.522060224890414,13.294206686750545,11.265569096048548,12.760689541939541,13.290743145743146,13.06850311147186,13.012764003673093,12.023945498945498,12.85478729502452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy,13.382106782106781,11.485973073836067,12.493853906644604,11.338154900654901,12.305943208614964,12.608642159122926,12.84428795841839,11.313807286463536,11.494952215540447,12.282149177982511,10.89680086778301,12.456619477014211,11.69664231080416,11.989187932232772,11.707925176675177,11.831594403860029,10.82569094735736,12.153938025297245,12.574437899945515,11.533207899622386,11.720025039821994,10.7896467089208,11.434467147347856,12.656062023083303,12.929701498897927,10.022927282361245,13.56258591835515,11.528886258338312,11.784179217772968,12.45951746122979,12.241466432872684,12.125505050505051,11.219483799029252,11.227370982926539,12.830245028431557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,11.542483660130719,8.68168394912581,11.405107623857624,12.24174709219352,12.229108309990663,11.305672336922337,12.566526644651645,11.56551024732843,9.977402998236332,13.82749074596901,11.159487734487735,11.893349705849705,11.788891355558023,12.599082064507598,12.622606729314047,11.772046501885212,10.239166932101716,10.061890366577867,13.37659651223481,10.69221676668485,10.65854860269754,13.361559611559612,10.613003131620154,12.282980907980907,14.446647324306898,12.219860166288738,13.453798185941045,14.351533882783883,12.308363961141739,11.911951144094003,10.18177141788253,14.173611111111114,10.454611908559277,12.092142467142468,14.150425962925963,10.931207976420744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,12.839928514108843,10.937748502496705,12.342358140435062,12.817740257300697,12.82950291214754,11.179740543021794,10.871477500787845,10.786127645502644,11.970499455193332,13.197614103423962,12.769012931512934,12.460668588854865,11.863375731022792,10.743814671404184,12.252107320289138,10.374828916123558,9.648050801493916,10.877048394218724,12.099813532605069,10.835708406570575,12.170960131486448,12.4088803449155,10.457778473580847,6.7349523136039995,13.730700916730326,8.629565946873639,13.90835867835868,13.950953866395041,11.319859627551933,11.95392230318701,11.668379239807809,13.41096681096681,10.962260679933095,10.932614847969182,13.711051440341382,11.527535968048015,10.227488273999901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,14.488966841239568,10.444908387010404,13.586913388543824,12.298780778400342,12.923620014245015,10.264466547046336,11.112563847680784,9.55206413956414,12.680313688836417,13.3378224180463,12.95652713299772,12.056920091402851,10.912463183814117,11.071886323735436,12.558624281701205,13.949243538987128,12.1598112601684,9.981029010240968,15.083481617699494,6.966195466472936,11.915302845819605,11.737939963605228,10.939168024712718,11.811630199865496,14.08328779476747,11.84805411979325,15.384049121873797,15.389480177941717,11.944431673124855,9.183748258375124,11.957096092039274,13.851523476523479,11.305981131800804,12.91138749918512,14.379941967543388,12.18519346150925,10.558044697467775,11.17357925334899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ja,13.179634073655814,12.214924480936878,12.626225218136982,13.984754528736012,13.457922632922632,11.79683610040753,13.368695266721584,12.582773571744157,11.879285837619172,12.412176085563184,13.259103215624956,14.479696024790961,13.997894541023197,12.783748382803005,14.531639538049793,13.864721838206686,13.499441991574857,12.280346554900126,13.65133609776467,12.530187930756114,13.413382818995062,13.98530802056443,12.269656552819816,12.313093758093759,15.295860722230584,14.798536340203006,15.95607052293099,15.424865095917728,14.163539585414586,14.324726662226663,12.2034802003552,15.029975271641938,11.448972447635548,13.512174524193755,14.70186274705331,13.642753658378659,12.344385167301835,13.273178744332592,13.746104379627106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka,13.808743169398905,10.802025606423754,12.470166001623321,11.755999555999555,12.465837942341702,11.59405426858257,11.601053814763494,11.498029264017637,12.05936077811078,13.02379409470465,12.294832895279326,12.469679375607212,12.593909074531433,11.573896244996494,12.94119589782855,13.758183872923954,11.850184978097035,10.995311963169106,14.312477243636664,11.504157429272448,11.340277509661565,12.706276338603926,10.626033353388426,12.535343562687311,14.54981944969809,13.214315296862466,14.55896368467391,14.5910249010249,11.614325158968017,12.569836263237965,12.414980286153757,12.97006755870392,10.696167431242058,11.98376721780977,13.968603861416362,11.764881950851645,10.885626784562955,12.041818633149903,11.082115802005713,13.115635215125012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kfa,12.26727551727552,9.305649732212231,11.730868415438728,12.762619820655535,12.608623966018332,10.237828085285713,7.428577887780923,10.680092750816435,10.590728715728714,14.060982998482999,11.628387671356421,12.877342016517273,13.61420539167792,11.499886470589596,12.748902369384295,12.668109668109665,11.727758069594804,10.860982271696557,14.091801763995642,10.861660165231593,12.48264887040397,13.602638636292482,10.644075383233547,10.644849826099826,16.15081181704893,10.825131899350648,14.91924696182938,15.23160974827641,10.122377480795848,12.3178139827076,9.071798241441098,12.753287585430442,9.900019936204146,12.807079616290144,13.631329896954897,12.870804109085357,9.835289196400309,10.831624419536508,11.432012589683044,12.37975011100011,11.320433251555702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kfb,13.963901338901337,10.58497492091242,12.36663878656066,11.687578061527642,13.241300561723097,11.372256274798648,11.36390356954873,11.155575327450327,11.446651034151035,14.473871903559404,13.121830426517928,12.372570031855167,13.436647588737372,11.695599105755354,13.750280843654336,13.75922620024733,12.223893736648838,12.033743152790771,14.882772839405492,11.301535818219213,11.70179799358971,11.883888317146235,11.533071166361983,12.076860523735522,15.0010653217142,11.69718345890221,16.07293248570721,13.891148357815023,11.46865573568755,11.868026181855972,10.857335691519367,15.438269270412128,11.104053110632059,12.237490214463898,13.470966822529322,12.206391264985015,11.559004524282303,11.760469079150399,11.660641089451252,13.98992118992119,11.951452600687293,10.423345328807514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kfe,14.324631449631449,10.447037164224664,14.332867653180152,12.88016922969654,14.204078687353336,11.411862149150284,8.98248795532951,12.03497452839558,11.804837754837756,14.393656979594477,12.670688686313685,13.188000762629326,14.432035894867182,12.21925069925989,12.862930409617155,14.229446793655574,12.887776339306955,10.992114477233523,16.214382697801067,10.722861324913683,13.730401684483319,12.958281056131735,11.929688650351915,12.27793734043734,16.699800889764504,12.462220938783439,16.503286243670864,15.64814845648179,11.84948484055627,13.2054308679778,11.047432301258832,14.145516388373531,12.05578047683311,14.417876166231428,14.24644712925963,13.379918258824508,10.838664421997755,12.180188858760287,11.242226838817748,13.473692075897958,12.380787721348947,9.2162541256929,11.227800196090145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kff,12.737451737451737,10.186173722111223,13.4169921875,13.515499629338917,13.495461502503751,11.022455181353484,10.153749897582914,12.464977639319743,12.098641173641173,14.565875097125096,13.9609375,13.50164475710261,14.64004234471267,12.284329964017465,13.772125130558868,13.950175802288475,12.978182390172186,11.15418961549914,15.551792028832844,11.227383193729349,13.346201134466439,13.425629391975548,11.653583236491398,12.438814888814887,16.571081982164458,13.58039659992785,16.212898212898214,16.166598524931864,11.083259144483636,13.141904785521808,8.684831325137447,15.880596784168214,10.381292683924263,13.608872852293905,14.724268064111817,13.393789731680357,11.960556932779154,12.261000065258308,12.160440727202092,12.217981150793651,12.742022574930736,9.757472969207662,10.233169820542269,10.434498041640898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
km,11.691713048855904,13.587507168657877,12.991207116207118,12.808305409867911,12.297049362674363,14.337252270676185,15.151618336963168,14.140974571646844,13.30375605120503,14.335417907601007,11.758811661589437,15.290338095113377,13.187780356898005,13.559424012840163,13.670867482434646,12.385981373366693,12.961137005564716,13.62513769443117,12.950875350140057,14.477200558576396,13.725717991159168,15.005543767171673,13.72433669271905,14.528256704980848,13.976311082080315,13.206477550227552,13.12745966155057,12.04420518207283,13.793130943130942,15.32598753370812,12.956778098444763,12.385284725562501,13.12676021296711,13.249729778418303,12.920920845027988,13.530763647530113,12.664679417804418,13.8937565123049,15.28700251817899,14.981434066357728,15.06447098652981,13.608825742159075,15.159460138626805,15.950709475709477,15.37350920684254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kn,13.087501462501463,9.959497446997446,12.98752061740343,12.198471667221668,13.495097820802046,10.301670316500823,7.86589135177845,12.126349527665319,11.46699457949458,13.014276233026232,11.410838293650794,12.715183656549637,13.5269275901144,11.235813231906983,12.992115648742155,13.100484218441963,12.357793283813693,9.644280763328384,14.943743189916662,10.353361839625578,12.351750432107574,13.017322510110972,11.029814714763695,11.349306480556482,15.60662776513292,11.056749673937173,14.7159903588475,14.814494147827482,11.535135357839438,11.691975282400815,9.909974520943909,13.376324469181611,9.998629659813869,12.907192588113642,14.04296426952677,13.465465668590667,8.608059121948012,10.96816294206404,11.007415012386604,12.079473911505161,11.787749457092193,6.699346076259341,11.272194571301712,8.621914862348534,10.13119823770334,14.435744656577992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ko,14.027497406807752,11.996540822444622,12.650269214454067,13.650729007903697,13.136713864838866,12.373274853641744,13.839280010113342,13.11468081118505,12.62558621933622,13.244728310904781,14.034914976091446,12.624671833912323,13.300413182991676,12.66019332734449,14.679301048745492,14.44701109267225,13.423562318589944,12.480297308470686,14.995280545280547,13.178730668265132,12.518019535666596,12.850336587477738,11.903949878949879,13.679630265567766,15.122355075480074,13.78518759018759,16.16249020022605,16.071072922175865,14.823047519856033,14.022262856191427,14.389658804552422,14.211795981795984,12.910162588734018,12.734640250388281,14.276381143412035,13.523285703060981,12.123831482527137,13.465420336743868,13.19560361258431,12.731420435920656,12.45361657861658,14.39237904530458,13.437661998167314,14.638942786979394,15.022943221081523,16.155544915099053,14.368634320761979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
