word,bo,sk,sva,pl,la,ar,tg,ml,krl,fa,hi,en,za,is,uk,ps,sa,id,ta,tcy,ca,da,vi,af,yea,ms,ko,kru,lt,ja,ug,gv,gon,nn,de,nl,lb,az,te,ku,ro,pt,gdb,km,bg,vro,tl,br,et,hu,oc,hy,se,mt,kxv,vep,kfe,gl,ba,sv,bfq,xmf,ur,kfa,kff,kfb,mn,th,lo,my,pci,lv,it,fi,brh,fo,bn,be,ru,mk,cs,he,fr,liv,cy,ga,sq,gd,xub,ka,tr,ny,zu,sl,kn,es,el,vot,yi,fy,tcx,lzz,mjt,as
stab,,,liswɛm,,konˈfo.di.oː,tˁa.ʕa.na,,,ˈpystelːæ,,,stæb,,,,,,,,,ə.pu.ɲəˈla,,ʔɗəm˧˧,,,,,,,,,,,,ˈʃtɛçn̩,ˈsteːkə(n),,,,,,,,,,ˈtːsːusːkːɑmɑ,,,ˈpistmɑ,ˈdøf,,χoˈtsʰɛl,,,,ˈtʃokɑitɑ,,,,,,tsikʼäpʰä,,,,,,tʰɛːŋ˧,,tʰó,,,puɲɲaˈlare,ˈpistæː,,,,,zɐˈkalɨvətʲ,,,,pwa.ɲaʁ.de,ˈsiskɨ,,,,,,rtʃʼɔbä,,,,,,apuɲaˈlaɾ,,ˈpisːæː,,,,ɔtsigu,,
hold,,ˈdr̩ʒac,lirmi,ˈtʂɨ.mat͡ɕ,ˈte.ne.oː,,,,ˈpityæ,,pə.kəɽ.nɑː,həʊld,,ˈhalta,,,,,,,ə.ɡwənˈta,,zɨ˦ˀ˥,ɦœu,,,tɯɭda̠,,tʊˈɾʲeːtʲɪ,,,,,,ˈhaltn̩,ˈɦɑu̯də(n),ˈhaːlen,tutˈmɑχ,,,ˈt͡si.ne,ˌse.ɡu.ˈɾa(ɹ),,kān´,,ˈpːitæmæ,,,ˈhoidmɑ,ˈtɒrt,,bərˈnɛl,,,,ˈpidɑdɑ,,,,,,däkʼinɛbä,,,,,,tʰɯː˩˩˦,tʰɯː˩˨,kàɪɴ,,tuɾɛ̂ːt,teˈne.re,ˈpitæː,,,,trɨˈmat͡sʲ,dʲɪrˈʐatʲ,,dr̩ʒɛt,,tə.niʁ,ˈpid̪ːɨ,dal,ˈkɪn̠ʲə,mbaj,kʰuːm,,dätʃʼɛrä,,,,,,aɡwanˈtaɾ,,ˈpitæː,,hɔːdə,,ɔkʰätʃu,,
wide,,,mäʃri,ʂɛˈrɔ.kʲi,ˈlaː.tus,waː.siʕ,,,ˈlevei,,t͡ʃɔː.ɽɑː,waɪd,,ˈpreiːðʏr,ʃeˈrɔkei̯,,,,,,,,zəwŋ͡m˧˨ʔ,,,,nʌ̹ɭt͈a̠,,,,,,,,bʀaɪ̯t,,bʀeːt,,,,larɡ,ˈlaɾ.ɡu,,l̥h,ʃiˈrɔk,ˈlɑkʲɑ,ma.ˈla.pad,,ˈlɑi,ˈseːlɛʃ,,lɑjn,,,,ˈleved,,,ˈkʲiŋ,viːd,,pʰärtʰɛ,,,,,ɵrɡəŋ,kwaːŋ˥˩.jaj˨˩,kwaːŋ˥˧,t͡ɕɛ̀,,plats,ˈlarɡo,ˈleʋeæ,,ˈpɹaijʊɹ,,ʂɨˈrokʲi,ʂɨˈrokʲɪj,,ˈʃɪrokiː,,laʁʒ,ˈlɑigɑː,ˈɬədan,ˈl̠ʲahənˠ,ˈɟ͡ʝɛ.ɾə,,,pʰärtʰɔ,vaːˈsiː,,,,,ˈaɲ.tʃo,,ˈlɑdʲdʲɑ,,,,mbɔli,,bɔ.ɦɔl
dirty,,,lətsʼid,ˈbrud.nɨ,ˈsor.di.dus,,,,ˈligɑhine,kʲæˈsiːf,ɡən.d̪ɑː,ˈdɜːti,,ˈouːr̥eitn,,sxɑ,,,,,ˈbɾut,beskit,ʔɓən˧˩,,,koto(r),ˈtɘːɾʌ̹p̚t͈a̠,,,kʲita̠na̠i,,,,²ʃɪtːn̩,ˈʃmʊt͡sɪç,vœy̯l,,t͡ʃirkˈli,,,murˈdar,ˈsu.ʒu,,k̥rk̥ʰvk´,,ˈmusːtːɤnuʔ,,,ˈmust,ˈpiskoʃ,,kɛχˈtɔt,,,,ˈredukɑz,,,,,,tsʼindämi,ɡə̃nd̪ə,,,,,sok̚˨˩.ka˨˩.prok̚˨˩,,ɲɪʔ,,nɛtīːɾs,ˈspɔrko,ˈlikɑinen,,,,ˈbrudnɨ,ˈɡrʲaznɨj,,ˈʃpɪnaviː,,sal,ˈmustɑː,,sˠəˈl̪ˠax,,,,tʃʼutʃʼqʼiäni,,,,uˈmáːzan,,ˈsuθjo,,ˈmusːɑ,,,,lɛbɔni,,lɛ.tɛ.ɹa
laugh,,ˈsmi̯ac sa,litswnäl,ɕmʲat͡ɕ ɕɛ,ˈriː.de.oː,dˁa.ħik,xændidæn,,ˈnɑkruɑ,xænd̪iːˈd̪æn,ɦə̃s.nɑː,laːf,,ˈl̥aiːja,,,,,,,ˈriw.ɾə,leː,kɨəj˨˩,ɫɐχ,,tawə,ˈuːt̚t͈a̠,,,ɰᵝa̠ɾa̠ɯ̟ᵝ,,,,,ˈlaχn̩,ˈlɑxə(n),ˈlaːχən,ɡylmæc,,ˈkɛniːn,,ˈʁiɾ,,soec,,ˈnɑːrtmɑ,,,ˈnɑermɑ,ˈnɛvɛt,,t͡sit͡sɑˈʁɛl,ˈt͡ʃajːpmah(t),,,ˈnɑgrdɑ,,,,,,dzitsä,,,,,,kʰam˩˩˦,,jì,,,ˈri.de.re,ˈnɑurɑː,,,,,smʲɪˈjat͡sːə,sɛ ˈsmɛ.ɛ,smaːt,t͡saˈχak,ʁiʁ,ˈnɑgrɨ,,ɡɑːɾʲ,cɛʃ,,,sitsili,,,,,,,,ˈnɑgrɑː,,ˈlai̯tsjə,,dzitsini,,ɦɔɦa
at,*la,,ʒi,u,in,ˈʕind̪æ,,,ˈlːɑ,dæɾ,pəɾ,æt,,,,,,,,,a,,,,,di,,,pɐs,de̞,,,,poː,an,ɔp,,,,,la,ˈa,,,,ˈl,,,ˈl,,,,,,,ˈl,,,,poː,,,,,,,,tʰiː˥˩,tʰiː˧˧,m̥à,,,a,ˈlːɑ,,ʊiː,,,vɛ,vɔ,u,,a,ˈjuːsɨ,ʊrθ,ə,ˈnə,,,zɛ,,,,pri,,en,ˈston,ˈlːɑ,,,,,,
wipe,,,likʼwtsæni,vɨˈt͡ɕɛ.rat͡ɕ,ˈter.ɡoː,ma.sa.ħa,,,ˈpyhkie,,,waɪp,,,,,,,,,ə.ʃuˈɡa,veskɘ,law˧˧,,,,ɕ͈it̚t͈a̠,,,,,,,,ˈvɪʃn̩,ˈveː.ɣə(n),,,,,,ˌes.fɾe.ˈɡa(ɻ),,,,ˈpːyhkːmæ,,,ˈpyhkimɑ,ˈtørøl,ejsyˈɣa,səɾˈpʰɛl,,,,ˈpyhktæ,,,,,,tsʼiminduä,mɪʈanaː,,,,,t͡ɕʰet̚˦˥,,θoʊʔ,,slāwtsîːt,aʃʃuˈɡare,ˈpyːhkiæ,,,,,vɨtʲɪˈratʲ,ˈbriʃɛ,ˈuciːrat,ˈneɡev,e.sɥi.je,ˈpuːst̪ɨ,,ˈkɪmʲɪlʲ,,,,tsʼmɛndä,,,,,,limˈpjaɾ,,ˈpyhtʃiæ,,,,ɔtsʼimidu,,mɔ.sa
because,*ɡaŋ.jin.zer.na,ˈprɛtɔʒɛ,läχä,bɔ,ˈkʷi.a,li.ʔan.na,,,ˈkonsɑ,,ˈkjũ.ki,bɪˈkɒz,,,bɔ,ˈdzəka tʃe,,,,,pəɾˈkə,,taːj˧˨ʔ vi˨˩,,,kə.ra.nə,t͈e̞mun,,nʲɛs,,,,,,vaɪ̯l,ɔm.ˈdɑt,væl,ˈt͡ʃynki,,,ˈpen.tru kə,poʁ.ˈke,,b̥roḥ,,ˈsːelːe etː,,,ˈsest,ˈmɛrt,,vɔɾɔfhɛˈtɛv,,,,ˈsikʃ miʃe,,,ˈsʏ̞n.kʲi,,,räχäns,,,,,,pʰrɔʔ˦˥,,lo̰,,,perˈke,ˈkoskɑ,,tʊiː,,,pətɐˈmu‿ʂtə,,ˈprotoʒɛ,,paʁ.skə,ˈsie̞pe̞rɑːst̪,ˈaχɔs,oːɾʲ,,ˈɔir,,rädgän,tʃynky,t͡ʃiˈfu.kʷá,,kɛr,,ˈporke,,ˈsenperæsːæ,,,,ɔkʰi,,
sea,,ˈmɔrɛ,dzuʁwä,ˈmɔ.ʐɛ,ˈma.re,baħr,bæhr,,ˈmeri,dæɾˈjɒː,,siː,haːi˥,haːv,,,s̪ɐ.mud̪.ɽɐ́,,,,ˈmar,hav,ʔɓiən˧˩,,,laot,pa̠da̠,,ˈjuːrɐ,⟨umi1⟩,,,,hɑːʋ,meːɐ̯,zeː,miːə̯,dæˈniz,,,ˈma.re,maɾ,,smud̥r,moˈrɛ,ˈmeri,,ˈmoːʁ,ˈmeri,ˈtɛŋɡɛr,,t͡sɔv,,ˈbaːħɐr,,ˈmeri,,,dʲiŋˈɡɪ̞ð,ɧøː,,zʁvä,,,,,taɮai,tʰa˦˥.leː˧,,pɪ̀ɴlɛ̀,,jūːɾa,ˈmaːre,ˈmeri,,hɛaːv,,,ˈmorʲe,,mor̝ɛ,,mɛʁ,ˈme̞r,moːr,,dɛt,,,zʁvä,,,ûːlwâːnɮe,ˈmóːrjɛ,,ˈmaɾ,ˈθalasa,ˈmeri,,seː,,zuʁä,,xaɡɔɹ
breast,,ˈpr̩sɲiːk,mutʃʼwɛd,pʲɛrɕ,ˈmam.ma,,,māṟu,ˈrintɑ,pʰesˈt̪ʰɒːn,,bɹɛst,,prjoust,,,,,ma:ɾbə,tigala,ˈpit,brøst,vu˧˦,bɔ(ː)rs,mele,,juba̠ŋ,jeʋakʰ,,mɯ̟ᵝna̠,,,dudo,,bʁʊst,bɔrst,,,gunde,,pjept,ˈsɐj.u,palgil,ṭoḥ,ɡərˈda,ˈrɤnt,,,ˈrind,ˈmɛlː,,kuɾt͡skʰ,ˈt͡ʃidːd͡ʒiː,,sipadaki,ˈrind,me:l,,im.ˈsæk,,ma:ɾə,kʼidiri,pɪst̪an,mele,eddam,sa:tti,,taː˥˩.nom˧,tuː˥˦,no̰,edram,,ˈse.no,ˈrintɑ,xad,brœst,,,ɡrutʲ,ˈɡrada,pr̩s,ʃad,sɛ̃,ˈriːnd̪ɑ,brɔn,,,kʰʲiəx,kujndigi,mkʼɛrdi,,ˈɓé.ɽe,îːɓéːle,,ede,ˈpet͡ʃo,ˈstiθos,ˈrintɑ,,,nidʒikuɖi,gjɔnkʰsi,daibuku,
belly,,ˈbruxɔ,qʰæd,bʐux,abˈdoː.men,ba.tˁa.na,ʃikæm,ʋajaɾə,ˈvɑtʃːɑ,ʃeˈkʲæm,peːʈ,bɛli,,ˈmaːjɪ,,nas,,,vayiṟu,bandʒi,ˈbuk,,ʔɓʊwŋ͡m˧˨ʔ,,baiɾu,pərot,pe̞,ku:l,,wi,,,pi:ɾ,,baʊ̯x,bœy̯k,,,poʈʈa,,,bɐ.ˈʁi.ɡɐ,pudug,k̥rbḥ,koˈrɛm,ˈkːɤtːtː,,ˈkofː,ˈkɤht,ˈhɒʃ,,pʰɔɾ,,zɐʔ,banɖi,ˈvɑts,naɖpe:ʈgu,banˈduʎo̝,,²mɑːɡɛ,oʈʈe,kʰɔrä,,poʈʈe,ɖokka,ʈeʈʈe,,tʰɔːŋ˦˥,,baɪʔ,poṭṭa,,ˈpan.t͡ʃa,ˈmɑhɑ,peɖʰ,,,,ʐɨˈvot,mɛf,ˈbr̝ɪxo,,vɑ̃tʁ,ˈmɑg,,ˈbˠɔlˠəɡ,,,poʈʈi,mutsɛli,,ˈmí.ᵐba,isíːsu,ˈtrèːbux,hoṭṭe,bäˈriɣä,,ˈvɑtsːɑ,bɔɪχ,,piɾ,kʰɔrbä,puɖa:,pɛt
throw,,,likʼwänɛ,ˈʐu.t͡sat͡ɕ,ˈjak.toː,,ændɔːxtæn,,ˈheitːiæ,ændɒːxtæn,pʰeːŋk.nɑː,θɹəʊ,,ˈkʰasta,,,,,,,ʎənˈsa,,nɛm˧˦,,,,tʌ̹nd͡ʑida̠,,ˈmʲɛsʲtʲɪ,,,,,,ˈvɛʁfən,ˈʋɛrpə(n),ɡeˈhai̯en,ɑtˈmɑχ,,,,lɐ̃.ˈsaɾ,,poḥ,,ˈhiːtːmæ,,,ˈʋiskɑmɑ,ˈdob,,nɛˈtɛl,,,,ˈtɑtstɑ,,,,,,ʔɔtʰämä,,,,,xajəx,joːn˧,,pjɪʔ,,mest,,ˈheitːæː,,kʰasta,,,brɐˈsatʲ,,,,ʒə.te,ˈe̞it̪ɨ,ˈtavlɨ̞,kɑh,,ˈtʃʰilikʲ,,srɔlä,,,,,,,,ˈviskɑː,,,,ɔstʰɔmilu,,dɔ.liʊa
suck,,,litʃigw,ssat͡ɕ,ˈsuː.ɡoː,masˁ.sˁa,mækidæn,,ˈimie,mækʲiːˈdæn,,sʌk,,ˈsjuːa,,,,,,,ʃuˈkla,,ʔɓu˧˦,,,hisap,p͈a̠ɭda̠,,ˈtʲʃʲʊlʲpʲtʲɪ,,,,,,ˈzaʊ̯ɡən,ˈzœy̯.ɣə(n),,,,ˈmeːʒiːn,ˈsu.d͡ʒe,,,jp´,,ˈnutsːimɑ,,,ˈimemɑ,ˈsopik,,t͡səˈt͡sɛl,,,,ˈimedɑ,,t͡ʃuˈt͡ʃaɾ,,,,tsʼuälä,,,,,xɵxəx,duːt̚˨˩,,soʊʔ,,sùːkt,,ˈimeæ,,,tʃoʃɑ,smaktat͡sʲ,sɐˈsatʲ,ˈt͡sit͡sa,,,sy.se,ˈimːɨ,,sˠuːɟ,θiθ,ˈtʲo.al,,tsʼɔvä,ɛˈmːɛc,,,,,t͡ʃuˈpaɾ,,ˈimiæ,,,,ɔtsʼu,,
