,nv,ku,mg,tn,ca,kfe,lo,bfq,bg,mk,an,si,hu,ta,nn,sv,kfa,tt,kk,rm,gon,mh,es,sa,gd,ne,id,ky,cs,ks,ae,om,pt,ar,av,kxv,el,kff,ko,kw,ps,my,kl,br,gdb,sc,fi,af,se,am,qu,gn,eu,th,wo,gl,ab,gv,kfb,bn,ga,yi,is,fo,co,as,ro,mi,sl,ay,wa,dz,ii,pci,ha,oc,tr,az,ch,brh,nb,os,hi,pl,ru,ht,pa,ba,ug,sd,aa,tk,mjt,vi,xub,it,tg,rw,kn,mt,tcy,ty,xmf,hy,la,et,bm,te,jv,ml,lv,zu,st,de,sq,lt,lb,gu,ee,ki,fr,za,ja,ka,da,fa,mn,sk,he,nl,mr,ny,xh,cy,yea,sva,km,tl,kru,ur,iu,ce,sw,cv,tcx,fy,uk,uz,lzz,bo,ms,li,be
hu,23.44724,19.50686,23.3125,24.79414,21.90178,22.69059,23.24448,23.94073,21.35141,21.18962,21.66666,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta,25.48397,21.60987,28.38888,20.59895,22.77701,14.71356,23.65203,13.73883,21.1139,21.56908,13.21428,32.5,23.45995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nn,23.49348,17.80555,23.64814,20.54261,20.52149,23.20041,24.47671,23.8521,20.27482,18.69315,28.18181,18.0,21.11798,23.48388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sv,24.66746,17.9809,27.61904,22.82771,19.91319,22.59585,22.40233,23.1705,20.02463,18.82255,25.625,N/A,21.78596,22.51176,7.81542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kfa,23.81775,21.88363,27.2619,17.08205,21.86764,14.60495,23.93538,11.50025,20.68859,20.99327,17.08333,26.66666,22.75416,12.09963,23.22493,22.26241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt,N/A,31.0,N/A,29.0,24.75491,24.98845,20.71428,27.6121,26.74242,25.5,N/A,N/A,22.06944,25.4931,26.66666,22.0787,24.82954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kk,20.2938,19.61805,N/A,26.82539,23.14602,21.37993,21.78769,21.70643,21.13588,22.37268,30.5,34.0,18.90453,21.5206,23.78075,22.66587,20.54102,2.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rm,N/A,18.33333,N/A,N/A,16.00048,19.28571,22.0,26.11111,15.98148,N/A,N/A,N/A,20.41666,26.11111,19.0909,N/A,26.11111,N/A,15.71428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gon,25.04006,22.64888,30.35714,19.26745,21.74135,18.53796,22.08049,18.34666,21.144,20.70234,20.0,30.625,22.85469,17.48757,22.41214,22.09524,16.27823,22.125,20.73683,25.55555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh,28.86666,22.63392,N/A,28.57142,24.99085,26.25644,29.875,22.61755,18.39285,N/A,N/A,N/A,26.55612,24.49603,24.28571,24.14351,24.68452,N/A,22.5,N/A,20.99404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es,24.25499,19.39892,24.44642,20.51215,12.95581,20.06576,24.87583,20.38381,19.44466,20.28539,14.2548,30.0,22.65015,20.18905,21.46225,21.12124,20.11647,24.05145,23.8621,14.08333,20.11372,24.91468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa,25.28739,20.24644,22.22222,23.79696,21.2524,21.63804,24.23669,20.28969,19.41447,18.83745,33.33333,33.33333,24.13167,21.53703,23.981,22.31168,20.18021,22.97979,23.67117,15.0,21.01387,23.59393,20.11178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd,26.30113,22.00641,24.92559,27.23611,20.24068,25.45344,24.58029,24.80127,22.01462,22.07237,23.5,N/A,21.94115,24.61117,23.8354,22.38956,25.45344,25.41071,24.76344,25.71428,24.49133,31.29464,22.59301,24.29765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ne,N/A,N/A,23.75,N/A,13.75,30.0,24.0,8.75,26.25,18.0,N/A,N/A,30.0,17.0,28.75,21.0,23.33333,N/A,N/A,N/A,27.85714,N/A,17.5,27.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,22.01785,19.86475,22.06944,20.08333,20.76558,19.5803,23.56982,20.95907,19.85899,20.33568,N/A,N/A,22.34529,19.75829,21.55921,20.58631,19.61447,N/A,21.09986,8.57142,19.47061,20.2037,19.23027,18.95948,23.88274,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky,N/A,N/A,N/A,N/A,15.90909,32.77777,N/A,31.0,N/A,N/A,N/A,N/A,23.22916,30.5,N/A,18.58333,22.22222,N/A,0.0,N/A,29.44444,N/A,19.65277,N/A,17.22222,N/A,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs,23.95398,19.63118,23.0625,21.25229,20.11589,22.0043,23.83887,21.26318,12.71647,15.08092,21.5909,24.16666,21.81431,22.03641,21.21611,20.74467,21.71816,26.52083,21.37306,17.57936,21.73253,22.47222,19.64715,19.76629,23.30081,13.75,21.87053,19.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ks,40.0,N/A,N/A,26.66666,24.28571,23.0,13.0,28.33333,N/A,N/A,N/A,N/A,23.0,27.85714,21.66666,25.71428,28.33333,N/A,25.0,N/A,20.0,N/A,21.66666,6.25,28.33333,N/A,24.16666,N/A,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae,27.85714,N/A,26.66666,N/A,25.0,26.11111,19.28571,23.33333,12.5,N/A,N/A,N/A,16.42857,27.27272,22.85714,22.85714,18.88888,N/A,N/A,N/A,21.11111,N/A,25.55555,18.75,23.125,N/A,13.57142,N/A,17.5,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
om,N/A,22.14285,N/A,N/A,25.0,21.875,N/A,27.5,20.0,N/A,N/A,N/A,16.42857,21.875,N/A,18.57142,23.75,N/A,N/A,N/A,26.66666,N/A,23.75,21.66666,21.25,N/A,N/A,N/A,20.0,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt,25.96547,18.95291,23.23106,19.59505,14.42933,21.50222,24.72848,21.58823,19.59351,20.41934,13.6298,32.5,22.60493,21.27059,21.77583,21.86622,21.2229,24.43605,23.43407,14.94107,21.25599,28.8483,9.79058,20.22606,22.68814,25.0,20.06403,30.4375,20.33387,N/A,27.5,23.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ar,26.10912,20.99486,18.91071,19.60083,22.1649,20.30645,23.72645,20.00802,20.70566,20.65226,21.51515,N/A,22.7173,20.18143,22.65517,22.13248,19.27871,22.5303,20.08279,7.5,20.86876,23.19428,21.01029,21.2847,25.64609,21.66666,18.34167,16.36363,21.71936,16.0,12.85714,12.14285,21.7035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
av,N/A,N/A,N/A,N/A,30.0,24.375,20.0,24.375,29.16666,29.16666,N/A,N/A,15.83333,24.375,27.85714,25.0,24.375,N/A,N/A,N/A,20.0,N/A,29.16666,N/A,19.16666,N/A,N/A,N/A,27.5,N/A,N/A,N/A,27.5,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxv,23.12535,20.16179,25.83333,19.76785,22.16615,18.54538,22.82758,17.7353,20.83803,20.13296,20.45454,29.375,23.05988,17.74001,22.26007,21.81175,16.18388,22.36309,22.11511,26.875,16.4037,23.42857,19.6306,20.80144,25.58517,25.83333,17.9711,N/A,21.0397,26.0,18.63636,26.875,20.78843,19.51949,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el,23.04575,19.89113,22.89285,20.27919,20.23275,20.16985,24.28904,19.48797,18.69315,19.91639,23.18181,25.0,22.6422,20.505,21.45482,20.70788,19.88931,21.75757,21.91815,23.0,21.40702,23.48611,18.75273,18.99316,24.17996,22.0,19.14793,20.75,19.89963,29.16666,17.77777,N/A,19.91315,20.22684,17.85714,18.95108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kff,24.07196,23.21908,25.28571,19.46539,22.94668,17.89666,24.56123,17.27883,21.72146,22.23883,15.0,30.625,23.78972,17.53809,23.94915,23.2088,16.66087,21.93452,20.74458,17.14285,14.2994,22.3497,21.18889,22.70147,26.30498,27.85714,21.03783,30.0,22.5981,25.0,19.28571,13.88888,22.17816,20.32904,20.71428,16.61187,21.28468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ko,21.47713,22.47066,34.61111,23.26799,22.33496,23.74603,25.55204,22.62437,23.10978,21.51647,29.72222,28.75,24.5105,24.04512,24.65928,24.49113,22.80635,26.49305,21.22636,24.73214,22.82661,26.71995,23.31917,22.8149,25.74929,8.75,21.75913,18.86363,22.90296,36.0,26.42857,27.5,23.53915,22.58886,13.33333,24.19312,22.33982,23.90444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kw,19.64285,21.14583,N/A,21.14772,18.85588,22.63179,21.18939,22.70816,20.55337,24.45238,N/A,N/A,22.89751,24.193,18.03992,19.371,23.55215,28.61111,23.38293,13.33333,23.84998,N/A,20.48219,23.41547,21.87135,N/A,22.62698,N/A,21.18449,36.66666,N/A,N/A,19.84986,22.53777,24.375,23.30047,23.71293,25.77594,23.0606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ps,26.80257,19.40716,25.78703,20.86441,21.44323,23.79931,22.78064,23.81512,20.6128,19.6327,17.91666,N/A,22.49874,23.43502,21.82037,20.60737,23.38492,21.25676,23.93187,N/A,23.38011,23.04166,22.29294,22.07528,22.93752,17.5,21.94021,21.25,21.17569,19.0,24.16666,28.75,22.1392,21.67153,21.11111,22.36651,20.90645,24.19315,24.25118,19.62209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
my,24.73281,23.02086,30.74305,26.01041,23.91195,24.95058,21.1944,24.87568,23.83781,24.40295,27.25,17.0,24.16076,25.0339,23.67009,23.79157,24.09529,30.63392,25.61786,19.94859,23.81995,27.11394,24.62848,24.22838,23.76312,33.57142,23.10731,27.5,24.50109,26.25,30.83333,15.55555,24.79825,25.04631,20.55555,24.53151,23.36779,25.1824,26.17534,25.07651,25.77046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kl,N/A,N/A,N/A,N/A,23.88888,17.5,23.33333,16.42857,15.625,23.125,N/A,N/A,N/A,15.625,N/A,N/A,16.42857,N/A,N/A,N/A,25.83333,N/A,19.375,N/A,31.66666,N/A,N/A,N/A,15.55555,N/A,N/A,N/A,20.0,9.375,N/A,20.71428,21.11111,22.5,38.0,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
br,23.18452,21.01197,26.46031,23.2328,20.86998,22.40092,22.91929,23.08185,20.70765,21.43639,N/A,29.16666,23.01043,23.82124,21.51774,21.94022,22.40964,28.33333,20.24691,9.16666,21.4513,22.46031,21.86445,24.04977,22.78301,N/A,20.65638,N/A,21.41236,31.0,15.0,26.25,21.84243,22.32191,25.625,22.44774,21.91013,23.60385,23.83725,5.97106,20.84675,24.26371,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gdb,21.56774,21.52147,24.19642,20.41265,22.08672,19.96061,22.82068,20.67843,20.86992,21.77028,21.81818,29.375,22.07449,20.6614,22.17826,22.3841,19.68581,22.94733,20.73412,17.5,18.59184,21.25,21.22209,22.60405,23.58421,30.0,20.51014,8.33333,21.98646,24.0,20.55555,25.625,21.74063,22.60859,26.25,17.51687,20.76248,20.45027,23.44148,20.75686,23.31289,24.25769,16.42857,21.87544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc,19.0,17.36616,5.0,N/A,15.33689,18.78472,24.45882,19.33531,18.89305,19.86111,N/A,N/A,21.26152,21.43767,16.3141,19.79443,20.76707,N/A,25.3125,20.625,19.33682,N/A,13.58959,18.00865,21.08928,20.0,19.50252,N/A,18.88512,N/A,N/A,N/A,14.97041,19.94609,N/A,19.64191,16.26631,20.85611,21.02916,18.08035,20.04504,26.53338,N/A,21.94289,19.27314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi,25.35076,22.00284,25.70833,18.81132,20.56158,20.25339,24.79455,19.84958,20.04312,19.85678,20.55555,24.16666,21.4849,21.19071,21.65408,20.95462,19.5499,20.58974,21.46572,22.5,21.22741,24.48941,20.33182,19.85997,23.7394,22.5,20.93978,N/A,20.31176,27.5,26.25,27.5,20.85194,20.69059,26.25,20.77105,20.40465,20.43654,21.8329,21.96651,22.12838,23.91957,8.75,22.86445,21.77017,20.29559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af,25.07838,21.35661,25.75,24.05588,20.25004,24.58831,21.42069,23.84813,19.54291,22.16894,N/A,22.5,21.24947,23.61965,17.4893,15.51148,23.66172,21.95833,26.02678,23.22916,22.99104,19.97354,22.80997,23.47957,24.28804,31.25,20.25326,N/A,20.19334,27.85714,18.57142,20.0,22.6839,22.20388,21.66666,23.6514,21.20337,23.8388,25.68535,21.98178,20.34222,22.34623,22.14285,21.20202,22.79037,21.66428,23.62037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,26.50484,23.39468,28.88095,23.72222,23.10128,21.53898,26.06397,18.52665,21.59898,22.31817,23.26388,31.42857,22.74963,19.27539,23.74536,22.86496,19.52934,23.5,26.52537,21.76923,20.45229,26.43578,20.4328,20.62074,24.11461,16.0,21.91667,N/A,21.2558,24.28571,30.0,N/A,21.90735,21.36758,28.88888,20.03174,20.16605,22.00333,23.11104,25.51748,22.17766,25.61047,N/A,24.49083,22.16738,19.41245,17.07071,23.73151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
am,15.71428,22.61904,23.0,N/A,21.91388,19.39384,23.53088,20.64999,22.50578,20.41666,N/A,N/A,21.72706,22.7242,23.54629,22.43391,21.16973,25.55555,23.88888,N/A,24.80324,28.88888,23.07018,25.19331,22.55555,23.0,22.48023,N/A,21.88518,N/A,N/A,N/A,21.71903,19.15525,N/A,21.48095,21.98676,24.73272,20.01327,24.16666,23.85337,23.78716,N/A,25.84325,18.25694,19.0,21.96044,23.09523,22.19555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qu,N/A,N/A,25.83333,N/A,22.91666,31.66666,22.85714,23.33333,26.75,22.14285,N/A,N/A,26.66666,22.85714,22.91666,16.84523,16.875,N/A,N/A,N/A,19.44444,N/A,20.0,23.75,26.66666,24.16666,24.375,N/A,30.20833,N/A,N/A,N/A,25.25,22.27678,N/A,19.375,20.85714,19.44444,23.66666,N/A,28.33333,19.30555,N/A,N/A,31.66666,23.33333,15.625,25.0,19.28571,22.14285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gn,23.5,N/A,23.75,N/A,11.25,26.25,26.125,17.5,21.0,18.75,N/A,N/A,24.375,24.0,23.75,23.0,28.33333,N/A,25.625,N/A,32.85714,N/A,14.77272,21.52777,17.5,25.0,22.5,N/A,14.44444,N/A,N/A,N/A,16.80555,26.25,N/A,31.66666,22.0,32.85714,20.25,N/A,17.8125,33.57142,N/A,19.44444,26.25,17.25,25.69444,22.5,24.0,21.0,29.16666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
