word,pl,cy,de,lt,ru,gv,el,xmf,te,yi,lzz,da,es,is,it,sva,ka,sl,oc,sv,br,fo,ga,pt,nl,lv,sk,bg,be,gd,af,ro,fy,ca,hy,gl,mk,no,sq,cs,fr,uk
fear,strax,,ʔaŋst,,strax,,,ʃkʰurini,,,ʃkʼurinä,,ˈmjedo,ˈr̥aiðstla,paˈu.ra,mäqʼäl,ʃiʃi,ˈstráːx,,,ɔ̃n,,ˈaɡlˠə,ˈme.du,ɑŋst,bâjlɛs,strax,,,,frɪəs,ˈfrikə,,ˈpo,vɑχ,,,,ˈfɾik(ə),ˈstrax,pœʁ,
leg,ˈnɔ.ɡa,koːɨ̯s,baɪ̯n,,nɐˈɡa,,ˈpoði,kʼutʃχi,kaːlu,fʊs,kʼutʃχɛ,beːn,ˈpjerna,ˈfouːtʏr,ˈɡamba,tʃʼiʃχ,pʰɛχi,nɔ̀ːɡa,ˈkambo,ˈbeːn,ˈɡɑːr,,kɔsˠ,ˈpɛɾ.nɐ,beːn,kāːja,ˈnɔɦa,krak,naˈɣa,kʰas,,,skoŋk,ˈka.mə,vɔtkʰ,,,bæɪn,kəm.bə,ˈnoɦa,ʒɑ̃b,
forest,las,ˈkɔɨ̯dwɪɡ,valt,ˈmɪʂ.kɐs,lʲes,kiːlʲ,ˈðasɔs,tʼqʼä,,,gɛrmä,,ˈboske,ˈskouːʏr,,tsχɛkʼ,tʼqʼɛ,ˈɡɔ́st,,skuːɡ,ˈkwɑːt,,kiːlʲ,floˈɾɛs.ta,ʋɑu̯t,,ˈlɛs,ɡoˈra,lʲes,ˈkʰɤʎə,bɔs,pə.ˈdu.ɾe,,ˈbɔsk,ɑnˈtɑr,ˈbɔske,ˈʃuma,,pyɫ,lɛs,fɔ.ʁɛ,
eye,ˈɔ.kɔ,ˈɬəɡad,ˈaʊ̯ɡə,ɐˈkʲɪs,ɡlas,suːlʲ,ˈmati,tʰɔli,kan̪ːu,,tʰɔli,øjə,ˈoxo,ˈøyːɣa,ˈɔk.kjo,tʰɛ,tʰväli,ɔˈkóː,,ˈøːˌɡa,ˈla.ɡat,ˈɛiːja,sˠuːlʲ,ˈo.ʎu,oːx,ats,ˈɔkɔ,oˈkɔ,ˈvoka,s̪uːl,oəχ,okʲ,ɪə̯x,ˈuʎ,ɑt͡ʃʰkʰ,ˈoʎʊ,ˈɔkɔ,²æʉɡə,sɒj,ˈoko,œj,ˈɔkɔ
fat,twuʂt͡ʂ,ˈbrastɛr,fɛt,rʲɪəbɐˈlɐɪ̯ˑ,ʐɨr,,ˈli.pos,gägäbi,koʋːu,,jäʁi,fet,ˈɡɾasa,ˈfɪːta,ˈɡras.so,mətʃχim,tsχimi,,,fɛt,,ˈfiːtɪ,sˠail̠ʲ,ɡoɹ.ˈdu.ɾa,vɛt,,tuk,,,,,,,,t͡ʃɑɾp,,,,,,ɡʁɛs,
small,ˈma.wɨ,baːχ,klaɪ̯n,ˈmaːʒɐs,ˈmalʲɪnʲkʲɪj,,miˈkro̞s,tʃʼitʃʼɛ,,ˈkleɪn,tʃʼutʼä,lilə,peˈkeɲo,smauːr,pikˈko.lo,χɔχrä,pʼätʼärä,ˈmáːjxən,,ˈliːˌtɛn,,,bʲɔɡ,pɪ.ˈke.nʊ,klɛi̯n,,ˈmaliː,ˈmalək,maˈlʲenʲkʲi,pek,,mik,,pəˈtit,ˈpʰɔkʰəɾ,peˈkeno̝,maɫ,,ˈvɔɡəl,ˈmaliː,pə.ti,mɐˈlɛnʲkei̯
tooth,zɔmp,dant,t͡saːn,,zup,,ˈðɔndi,kʼibiri,pan̪ːu,tsɔn,kʼibiri,tan,ˈdjente,tʰœnː,ˈdɛnte,ʃdikʰ,kʼbili,ˈzóːp,,ˈtand,,tʰɔnː,ˈfʲiəkəlʲ,ˈdẽ.tɨ,tɑnt,zùops,ˈzup,zɤp,,,,ˈdinte,,ˈdent,ɑˈtɑm,,,tɑnː,,zup,dɑ̃,
root,ˈkɔ.ʐɛɲ,ɡwrai̯ð,ˈvʊʁt͡sl̩,ʃɐkʲˈn̪ʲɪs̪,ˈkorʲɪnʲ,,,dʒindʒi,ʋeːru,,dʒidʒi,roːd,raˈiθ,rouːt,raˈditʃe,tsʼusχund,pʰɛsvi,kɔrɛˈnìːna,rraˈis,,,ɹɔuːt,fʲɾʲeːvˠ,ʁa.ˈis,ˈʋɔr.təl,,ˈkɔrɛɲ,ˈkɔrɛn,ˈkoranʲ,,,,,əˈrɛl,ɑɾˈmɑt,raˈiθ,,ruːt,rəːɲ,ˈkor̝ɛn,ʁa.sin,ˈkɔrʲinʲ
lie,ˈkwam.stfɔ,,ˈlyːɡə,ˈmʲæːɫas,loʂ,,,dɔndʒirä,,,dɔndʒiru,løɡn,menˈtiɾa,ˈlɪːjɪ,buˈd͡ʒi.a,liqʼwrɛ,tsʼɔlä,ˈláːʃ,,lœŋn,,,bʲɾʲeːɡ,mẽ.ˈti.ɾɐ,ˈløː.ɣə(n),,ˈkɫamstvɔ,ɫəˈʒa,,,,,,mənˈti.də,sut,,,,,lɛʃ,mɑ̃.sɔ̃ʒ,
sky,ˈɲɛ.bɔ,ˈau̯ɨ̞r,ˈhɪml̩,dɐŋˈɡʊs,ˈnʲebə,,,tsä,,,tsä,,firmaˈmento,ˈhɪːmɪnː,ˈt͡ʃɛ.lo,dɛts,tsä,nɛˈbóː,,,ˈo.abl,ˈhiːmɪn,eːɾˠ,ˈsɛw,ˈɦeː.məl,,ˈɲɛbɔ,nɛˈbɛ,ˈnʲeba,,lœχ,t͡ʃer,,ˈsɛl,jɛɾˈkiŋkʰ,ˈθɛ.ʊ,,,,ˈnɛbɛ,sjɛl,
wipe,vɨˈt͡ɕɛ.rat͡ɕ,,ˈvɪʃn̩,,vɨtʲɪˈratʲ,,,tsʼiminduä,,,ɔtsʼimidu,veskɘ,limˈpjaɾ,,aʃʃuˈɡare,likʼwtsæni,tsʼmɛndä,,ejsyˈɣa,,,,ˈkɪmʲɪlʲ,ˌes.fɾe.ˈɡa(ɻ),ˈveː.ɣə(n),slāwtsîːt,,,,,,,,ə.ʃuˈɡa,səɾˈpʰɛl,,ˈbriʃɛ,,,ˈuciːrat,e.sɥi.je,
burn,ˈpa.lʲit͡ɕ ɕɛ,ˈɬɔsɡɪ,ˈbʀɛnən,,ɡɐˈrʲetʲ,,,tʃʼuälä,kaːlu,,ɔtʃʼu,,aɾˈdeɾ,ˈprɛnːa,,liʃχi,tsʼvä,,,,,,d̪ˠoːɟ,ɐɾˈdeɾ,ˈbrɑndə(n),dekt,,,ɣaˈret͡sʲ,ɫ̪ɔʃɡ̊ʲ,,,,,ajɾˈvɛl,,ˈɡɔɾi,,,ˈɦor̝ɛt,bʁy.le,
in,f,ən,ʔɪn,,vɛ,,en,,loː,,,,en,,ˈin,sgä,ʃi,ʋ,,iː,,ʊiː,ɪ,ẽj̃,ɪn,,,vɤ,,,,ɨn,,ən,mɛt͡ʃʰ,,vɔ,iː,ˈnə,v,dɑ̃,
sand,ˈpʲa.sɛk,,zant,,pʲɪˈsok,ˈɡʲanʲax,,kʰviʃä,,,ʁumi,san,aˈɾena,ˈsantʏr,ˈsab.bja,kʰwiʃɛ,kʰviʃä,ˈpèːsək,ˈsaβlo,,tʁɛs,,ˈɡanʲəvˠ,ɐˈɾɐjɐ,zɑnt,,ˈpi̯ɛsɔk,ˈpʲasək,pʲaˈsok,,sant,niˈsip,,ˈso.rə,ɑˈvɑz,ˈʃaβɾe̝,,sɑnd,,ˈpiːsɛk,sɑbl,pʲiˈsɔk
one,ˈjɛ.dɛn,ɨːn,aɪ̯ns,,ɐˈdʲin,nɛːn,ˈe̞na,ärtʰi,okaʈi,,är,,ˈuno,eitn,ˈuno,ɛʃχu,ɛrtʰi,,,ɛt,ˈỹː.nãn,,iːnˠ,ˈũ,eːn,viɛ̂ns,ˈjɛdɛn,,,ɯːn,,ˈu.nu,,ˈun,mɛk,,,,ɲə,ˈjɛdɛn,œ̃,oˈdɪn
wide,ʂɛˈrɔ.kʲi,ˈɬədan,bʀaɪ̯t,,ʂɨˈrokʲɪj,,,pʰärtʰɛ,,,mbɔli,,ˈaɲ.tʃo,ˈpreiːðʏr,ˈlarɡo,mäʃri,pʰärtʰɔ,,,viːd,,ˈpɹaijʊɹ,ˈl̠ʲahənˠ,ˈlaɾ.ɡu,,plats,,ʃiˈrɔk,ʂɨˈrokʲi,,,larɡ,,,lɑjn,,,,ˈɟ͡ʝɛ.ɾə,ˈʃɪrokiː,laʁʒ,ʃeˈrɔkei̯
woman,kɔˈbʲɛ.ta,,fʁaʊ̯,ˈmoːtʲɛrʲɪs,ˈʐɛnʲɕːɪnə,bɛᵈn,ʝiˈne̞ka,ɔsuri,,,ɔχɔrdʒä,ˈkʰvenə,muˈxeɾ,ˈkʰɔːna,ˈdɔn.na,zuräl,kʰäli,ˈʒèːnska,ˈfenno,ˈkvɪnːˌa,,,bʲanˠ,muˈʎɛɾ,vrɑu̯,,ˈʒe.na,ʒɛˈna,ʐanˈt͡ʂɨna,b̥ɛn,,feˈmeje,,ˈdɔ.nə,kin,muˈʎɛɾ,ˈʒɛna,²kʋɪnːə,ˈɡɾua,ˈʒɛna,fam,ˈʒʲinkɐ
skin,ˈsku.ra,kroːɨ̯n,haʊt,ˈôːd̪ɐ,ˈkoʐə,ˈkraːɣən,ˈðɛɾma,tʼqʼɛbi,tʃarmamu,heɪt,tʼkʼɛbi,,,huːð,ˈpɛlle,kʼæn,kʼäni,ˈkòːʒa,pɛl,hʉːd,ˈkʁoːχɛn,,ˈkɾˠacən̪ˠ,ˈpɛ.lɨ,ɦœy̯t,âːda,ˈkɔʒa,ˈkɔʒə,ˈskura,,,ˈpjele,,ˈpeʎ,mɑʃk,,,,ləkuɹə,ˈkuːʒɛ,po,
dirty,ˈbrud.nɨ,,ˈʃmʊt͡sɪç,,ˈɡrʲaznɨj,,,tsʼindämi,,,lɛbɔni,beskit,ˈsuθjo,ˈouːr̥eitn,ˈspɔrko,lətsʼid,tʃʼutʃʼqʼiäni,uˈmáːzan,,,,,sˠəˈl̪ˠax,ˈsu.ʒu,vœy̯l,nɛtīːɾs,,,ˈbrudnɨ,,,murˈdar,,ˈbɾut,kɛχˈtɔt,,,²ʃɪtːn̩,,ˈʃpɪnaviː,sal,
cold,ˈʑim.nɨ,oːɨ̯r,kalt,ˈʃaltɐs,xɐˈlodnɨj,,,ʔini,,,qʼini,kɔl,ˈfɾio,ˈkʰaltʏr,ˈfreddo,mətsχi,tsivi,,,kal,,,fˠuəɾˠ,ˈfɾi.u,kɑu̯t,āūksts,,stuˈdɛn,xaˈɫodnɨ,fuəɾ,kœut,ˈret͡ʃe,,ˈfɾət,ˈsɑrə,ˈfɾiʊ,,,,ˈstudɛniː,fʁwɑ,xɔˈlɔdnei̯
salt,sul,ˈhalɛn,zal(t)s,,solʲ,ˈsolan,aˈlati,dʒimu,,,dʒumu,salt,sal,sal̥t,ˈsale,dʒim,märili,ˈsóːw,,salt,,sal̥t,ˈsalˠən̪ˠ,ˈsaɫ,zɑu̯t,sàːls,ˈsɔʎ,,,,,ˈsa.re,,ˈsal,ɑʁ,s̺al,,,ˈkɹi.pə,suːl,sɛl,ˈsʲilʲ
blow,ˈdmu.xat͡ɕ,ˈχwəθɨ̞,ˈblaːzn̩,ˈpǔːsʲtʲɪ,dutʲ,,,bäruä,,,bäräpʰä,blɛːsə,,,sofˈfjare,libɛlɛ,bɛrvä,,,,,,ʃeːdʲ,suˈpɾaɾ,ˈblaːzə(n),,,,,,,,,buˈfa,pʰəˈt͡ʃʰɛl,,ˈduva,,,ˈvaːt,su.fle,
flower,kfʲat,ˈblɔdɨ̞n,ˈblyːtə,,t͡svʲɪˈtok,,ˈanθɔs,pʼɛuli,puʋːu,blʊm,pʰukʰiri,,ˈfloɾ,plouːm,,muʁwæ,qʼvävili,ˈtsʋéːt,,blʊ.ma,blœ̃w,ˈblɔuma,bˠl̪ˠɑː,ˈfloʁ,blum,,ˈkvɛt,t͡svʲat,,,,flo̯are,blom,ˈflɔ,t͡sɑˈʁik,,,bluːm,ˈlulɛ,ˈkvjɛt,flœʁ,ˈkʋʲitkɐ
mother,ˈmat.ka,mam,ˈmʊtɐ,,matʲ,maːɹ,miˈtera,didä,,ˈmʊtəʁ,nänä,,ˈmadɾe,ˈmamːa,ˈma.dre,di,dɛdä,ˈmàːti,ˈmajɾe,muːr,ˈmãmː,ˈmɔuwɪr,ˈmˠɑːhəɾʲ,mɐ̃j̃,ˈmu.dər,māːtɛ,ˈmatka,ˈmajkə,,ˈmaːhəɾʲ,,ˈma.mə,,ˈma.ɾə,mɑjɾ,ˈnaj,,,,ˈmatka,mɛʁ,ˈmɑte
dog,pʲɛs,kiː,hʊnt,ʂuə,sɐˈbakə,ˈmɔːðə,ˈscilos,dʒɔʁɔri,kukːa,hʊnt,dʒɔʁɔri,hun,ˈpero,ˈhʏntʏr,ˈka.ne,ʒɛʁ,dzäʁli,ˈpə́s,ˈɡus,hɵnd,,ˈhʊntʊɹ,ˈmˠad̪ˠɾˠə,ˈkɐ̃w̃,ɦɔnt,,ˈpɛs,ˈkutʃɛ,,kuː,ɦɔnt,ˈkɨj.ne,huːn,ˈɡos,ʃun,,,,cɕɛn,pɛs,ʃjɛ̃,
short,ˈkrut.kʲi,bɨ̞r,kʊʁt͡s,,kɐˈrotkʲɪj,,,kʼuntʼä,,,mkʼulɛ,kɔrt,ˈkorto,ˈstʏhtʏr,ˈkorto,kʼudæ,mɔkʼlɛ,ˈkràːtək,,kɔrt,,,ɟaːɾˠ,ˈkuɾ.tu,kɔrt,îːs,ˈkraːtki,ˈkɤs,kaˈrotkʲi,ˈkɤɾʲɪtʲ,,skurt,,ˈkuɾt,kɑɾt͡ʃ,,ˈkratɔk,,,ˈkraːtkiː,kuʁ,kɔˈrɔtkei̯
fog,mɡwa,,ˈneːbl̩,ˈruːkɐs,tʊˈman,kʲeː,,nirsi,,,mpʼulä,tɔːɡə,,ˈθɔːka,ˈnebbja,bintʼw,nisli,məˈɡlá,ˈnɛβlo,,,ˈtʰoːʰka,coː,nɨ.ˈvwɐj.ɾu,mɪst,,ˈɦmɫa,məˈɡɫa,,,,ˈt͡ʃe̯a.t͡sə,,ˈbɔj.ɾə,mɑrɑˈχuʁ,ˈnɛβo̯a̝,ˈmaɡla,,ˈmjɛɡuɫ,mɫ̩ɦa,bʁu.jaʁ,
if,ˈjɛɕ.lʲi,ɔs,vɛn,jæj,ˈjes⁽ʲ⁾lʲɪ,,,vär,,,vänä,ves,si,ɛːv,se,läχ,tʰu,tʃɛ,,ɔm,,,mˠɑː,sɨ,ɑ(l)s,,ak,,,,,ˈda.kə,ɔs,ˈsi,jɛˈtʰɛ,,ˈakɔ,,,ˈjɛstlɪʒɛ,si,
see,ˈvʲi.d͡ʑɛt͡ɕ,ɡwɛld,ˈzeː.ən,mɐˈtʲîːtʲɪ,ˈvʲidʲɪtʲ,,ˈvlepo,rtsʼqʼɛbä,,,ɔtsʼkʼɔmilu,seː,ˈbeɾ,ˈsjauː,veˈde.re,lisgdi,χɛdvä,ˈʋiːdɛti,,seː,,ˈsʊt͡ʃːa,fʲɛc,veɾ,zin,ɾɛdzɛ̂ːt,ˈviɟi̯ɛc,ˈviʒdəm,ˈbat͡ʂɨt͡sʲ,,,veˈde̯a,,ˈvəw.ɾə,tɛsˈnɛl,,ˈɡlɛda,ʃoː,,ˈvɪɟɛt,vwaʁ,ˈbɑt͡ʃete
road,ˈdrɔ.ɡa,,ˈʃtraːsə,ˈkælʲɐs,dɐˈroɡə,reːd̪,ˈðromos,ʃärä,,,gzä,,kaˈmino,ˈvɛːɣʏr,ˈstrada,ʃukʼw,gzä,ˈtsèːsta,,vɛːɡ,hɛ̃nd,ˈveːvʊɹ,ˈbˠoːhəɾˠ,iʃ.ˈtɾa.ðɐ,baːn,tsɛʎʃ,ˈt͡sɛsta,pɤt,,,pɑt,,,kə.rəˈte.ɾə,t͡ʃɑnɑˈpɑɾ,esˈtɾaða̝,,,ˈruɡə,ˈt͡sɛsta,ʁut,dɔˈrɔɦɐ
egg,ˈja.jɔ,uːɨ̯,aɪ̯,,(j)ɪjˈt͡so,au,ta.oˈa,märkʰväli,ɡuɖːu,,mäkʰväli,ɛːɡ,ˈwebo,ˈɛkː,ˈwɔ.vo,ləgrɛ,kʼvɛrtsχi,ˈjàːjtsɛ,,ɛɡː,,ɛkː,uː,ˈo.vu,ɛi̯,uōla,ˈvajt͡sɛ,jəiˈt͡sɛ,ˈjajka,u,ˈəiər,ow,aːi̯,ˈɔw,d͡zu,ˈɔ.βʊ,ˈjajt͡sɛ,ɛɡː,,ˈvɛjt͡sɛ,œf,
lake,jɛˈʑɔ.rɔ,ɬɨ̞n,zeː,ˈæːʒʲɛɾɐs,ˈozʲɪrə,laːx,,tʼɔbä,sarasːu,,tʼɔbä,søː,ˈla.ɡo,vaʰtn,ˈlaɡo,tʼɔb,tʼbä,ˈjéːzɛrɔ,,ɧøː,,vaʰtn,l̪ˠɔx,ˈla.ɣu,meːr,æzæɾs,ˈjazɛrɔ,ˈɛzɛro,ˈvozʲera,,,,,ˈʎak,lit͡ʃ,ˈlaɣo̝,,,liˈcɛn,ˈjɛzɛro,lak,ˈɔzerɔ
rub,tʂɛt͡ɕ,,ˈʀaɪ̯bnˌ,,tʲɪˈrʲetʲ,,triˈvo,tʃirkʰɔli,,,ɔkʰurtʃɔlu,,,,strofiˈnare,liχdʒənɛ,χäχuni,,,,,,ˈkɪmʲɪlʲ,ˌes.fɾe.ˈɡa(ɻ),ˈvrɛi̯və(n),,,,,,,freˈka,,fɾəˈɡa,,,,,fəɾˈkɔj,tr̝̊iːt,fʁɔ.te,ˈtɛrte
ear,ˈu.xɔ,klɨːst,oːr,ɐʊˈsʲɪs,ˈuxə,kleːʃ,aˈfti,ʔudʒi,tʃeʋi,ˈɔɪ.əʁ,qʼudʒi,øːrə,oˈido,ˈeira,ɔˈrekkjo,ʃdim,qʼuri,uˈxóː,awˈɾeʎo,øːra,skwaʁn,ˈɔira,klˠuəsˠ,o(w).ˈvi.ðu,oːr,àws,ˈu.xɔ,uˈxɔ,ˈvuxa,,ʊər,uˈre.ke,,oˈɾə.ʎə,ɑˈkɑnd͡ʒ,,ˈuvɔ,,,ˈuxo,ɔ.ʁɛj,ˈwuxɔ
four,ˈt͡ʂtɛ.rɨ,ˈpɛdwar,fiːɐ̯,kʲɛt̪ʊˈrʲɪ,t͡ɕɪˈtɨrʲe,kʲeːə(r),ˈte̞se̞ˌra,ɔtʰχi,n̪aːl̪uɡu,fiʀ,ɔtʰχɔ,fiːrə,ˈkwatɾo,ˈfjouːrir,ˈkwat.tro,wɔʃtʰχw,ɔtʰχi,ˈʃtìːrjɛ,ˈkatre,ˈfyːˌra,,ˈfʊiːɹa,ˈcahəɾʲ,ˈkwa.tɾu,vir,tsætri,ˈʃtiri,,t͡ʂaˈtɨrɨ,,,ˈpa.tru,,ˈkwa.tɾə,t͡ʃʰɔɾs,,,,ˈkatəɾ,ˈt͡ʃtɪr̝ɪ,katʁ,t͡ʃoˈtɪrɪ̞
big,dɔˈrɔ.swɨ,,ɡʁoːs,,bɐlʲˈʂoj,,,didi,,,didi,,maˈɟ͡ʝoɾ,,ˈɡran.de,χɔʃä,didi,,,ˈvɵkˌsɛn,,,,mɐjˈɔɾ,,,,,,,,,,ˈɡɾan,mɛt͡s,,ˈɡɔlɛm,,,,ɡʁɑ̃,ʋeˈlɪkei̯
you,tɨ,tiː,duː,tʊ,tɨ,u,e̞ˈsi,tʰkʰvä,,,tʰkʰvän,du,ˈtu,θu,t̪u,sgæ,tʰkʰvɛn,ˈtíː,ty,dʉː,,tʰʉuː(w),t̪ˠuː,tu,jɛi̯,tu,ˈti,ti,,hu,jəi,tu,doː,ˈtu,du,,ti,dʉː,ti,tɪ,ty,ˈtɪ
back,ˈplɛ.t͡sɨ,,ˈʁʏkn̩,ˈn̪ʊɡɐrɐ,spʲɪˈna,d̪riːm,,ɔtʃʼiʃi,,,kʼäpʼulä,,esˈpal.da,paːk,ˈskjɛna,tʃʼätʃʼær,zurgi,ˈxərbət,,rʏɡ,ˈkɛjn,,d̪ˠɾˠiːmʲ,ˈkɔs.tas,rʏx,,ˈxr̩baːt,ɡrɤp,ˈsʲpʲina,kʰuːɫ̪,rœχ,,rɛːx,əsˈkə.nə,mɛt͡ʃʰkʰ,ˈlombo̝,ɡr̩p,,ʃpiːn,ˈzaːda,do,
left,ˈlɛ.vɨ,χwiːθ,lɪŋk,,ˈlʲevɨj,,,kʼvärtʃχäni,,,kʼväntʃχäri,,,,,lɛrtʰɛn,märtsχɛnä,,,,,,clʲeː,iʃ.ˈkeɾ.ðu,lɪŋks,kɾèjs,,ˈlʲaf,,kʰʲaːrˠ,,stɨŋɡ,,əsˈkɛ.rə,d͡zɑχ,,,,,ˈlɛviː,ɡoʃ,
here,tu,,hiːɐ,tʃʲɛ,zʲdʲesʲ,,,tʰäkʰ,,,äkʰ,,aˈki,çɛːr,kwa,ämɛtʃu,äkʰ,ˈtúːkaj,,hæːr,,,,ɐˈki,ɦir,,,ˈtuk,,,,aˈit͡ʃʲ,,əˈki,ɑjsˈtɛʁ,,ˈtuka,,,ˈtoto,i.si,
hair,ˈvwɔ.sɨ,ɡwaːɬd,haːɐ̯,,ˈvoləsɨ,,,tʰumä,,hɔʁ,tʰɔmä,,kaˈbeʎo,hauːr,,pʰätʰw,tʰmä,ˈláːs,,hoːr,,hɔaːɹ,ɡɾˠuəɟ,kɐ.ˈβe.lu,ɦaːr,mats,,koˈsa,ˈvoɫas,,,,,kəˈbəʎ,,kaˈβ̞elʊ,ˈkɔsa,hoːr,ˈcimɛ,ˈvlasɪ,ʃə.vø,wɔˈlɔsʲːɐ
drink,pʲit͡ɕ,ˈəvɛd,ˈtʁɪŋkən,ˈɡʲɛrʲ.tʲɪ,pʲitʲ,,ˈpi.no,ʃumä,,,ɔʃu,drekə,beˈβeɾ,ˈtrɛhka,ˈbe.re,litʰrɛ,smä,ˈpiːti,ˈbewre,drɪkːa,ˈe.vɑ̃,ˈtɾɛʰkːa,oːl̪ˠ,be.ˈbeɾ,ˈdrɪŋkə(n),dzɛɾ̂t,ˈpic,ˈpijə,,ɔːɫ̪,,be̯a,ˈdrɪŋkə,ˈbəw.ɾə,χəˈmɛl,,ˈpi.ɛ,,pi,piːt,bwaʁ,
