word,nv,ku,mg,tn,ca,kfe,lo,bfq,bg,mk,an,si,hu,ta,nn,sv,kfa,tt,kk,rm,gon,mh,es,sa,gd,ne,id,ky,cs,ks,ae,om,pt,ar,av,kxv,el,kff,ko,kw,ps,my,kl,br,gdb,sc,fi,af,se,am,qu,gn,eu,th,wo,gl,ab,gv,kfb,bn,ga,yi,is,fo,co,as,ro,mi,sl,ay,wa,dz,ii,pci,ha,oc,tr,az,ch,brh,nb,os,hi,pl,ru,ht,pa,ba,ug,sd,aa,tk,mjt,vi,xub,it,tg,rw,kn,mt,tcy,ty,xmf,hy,la,et,bm,te,jv,ml,lv,zu,st,de,sq,lt,lb,gu,ee,ki,fr,za,ja,ka,da,fa,mn,sk,he,nl,mr,ny,xh,cy,yea,sva,km,tl,kru,ur,iu,ce,sw,cv,tcx,fy,uk,uz,lzz,bo,ms,li,be
yellow,,ˈzɛɾ,,,ˈɡɾɔk,mandʒə,,mandʒe,ʒɤlt,,,,ˈʃaːrɡɒ,mandʒaɭ,,ɡʉːl,mandʒa,,,,piva:ʰd,,amaˈɾiʎo,,ˈb̥ujə,,,,ˈʒlutiː,,,,ɐ.mɐ.ˈɾɛ.lu,ʔasˁ.far,,hingeɾi,,pasap,ˈno̞ːɾa̠tʰa̠,ˈmɛlɪn,ʒeɻ,wà,,,tukud,,ˈkeltɑi̯nen,χɪə̯l,,,,,,lɯa̯ŋ˩˩˦,,,,,pijuda,,bˠiː,,ˈkʏːlʏr,ˈkuːlʊɹ,,ɦa.lɔ.dʱia,ˈɡal.ben,,ruˈmɛ́n,,,,,tūk,,,sɑˈɾɯ,,,pu:ʃkun,,,piˈla,ˈʐuw.tɨ,ˈʐoltɨj,,,hɑˈrɯ̞,,,,,balke,vaːŋ˨˩,mandʒəla:ngi,ˈdʒal.lo,,,haladi,ˈɪsfɐr,mandʒalu,,ʔvintʰɛli,dɛˈʁin,ˈflaː.wus,,,pasupu,,maɲa,dzæ̀ltæns,,,ɡɛlp,,,ɡie̯l,,,,ʒon,,,qʼvitʰɛli,ɡuːl,,ʃar,ˈʒɫ̩tiː,,ɣeːl,,,,ˈmɛlɨ̞n,mandʒe,qʼwitʰɛl,lẏaṅ,ˈdɪːlaʊ,ba:lka,,,,,,aɾdʒin,,ˈʒɔu̯tei̯,,säri,,kuneŋ,,ˈʐou̯tɨ
nose,,,,,ˈnas,mu:kə,daŋ˩˧,mu:kə,nɔs,,,,ˈorː,mu:kə,,ˈnɛːsˌa,mu:kkə,,,,mosoɾ,,naˈɾiθ,,s̪t̪ɾɔːn,,,,nos,,,,nɐˈɾiʃ,ʔanf,,mungeli,ˈmiti,mosso:ɾ,kʰo̞,,,n̥əkʰáʊɴ,,ˈfriː,mungan,,ˈnenæ,nɪøs,,,,,,t͡ɕa˨˩.muːk̚˨˩,,naˈɾiθ,,st̪rudʲnʲ,mu:kk,,sˠɾˠoːnˠ,,nɛːv,nøːs,,nak,,,ˈnóːs,,,,,muvãḍ,,,buˈɾun,buˈrun,,ba:mus,,,naːk,nɔs,nos,,,tɑˈnɑw,,,,,muso:,muj˦ˀ˥,mu:kkə,ˈna.zo,biˈniː,izûːru,mu:gə,,mu:gu,,tʃχvindi,kʰitʰ,,,,mukku,,mu:kə,,íːkʰaːla,,ˈnaːzə,,,nuəs,,,,ne,,,tsχviri,ˈnɛːsə,,,,ʔaf,nøːs,nak,ˈᵐpʰu.no,,truːɨ̯n,mu:kkə,nɛpʰχwnä,c̥rmuḥ,ʔi.ˈlɔŋ,mu:ji,,,,,,mittu:p,,,,tʃχindi,*zna,hidoŋ,,
two,nɑ̀ːkʰɪ̀,,,,ˈdos,eɖu,sɔːŋ˩˧,eɾaɖə,,,,,ˈkɛtːøː,ɾenɖə,,tvoː,daɳɖə,,,,ɾeɳɖu,rˠɨwɜw,dos,,,,,,dva,,,,ˈdojʃ,(ʔi)θnaːn,,rinɖa,ˈðiˌo̞,ɾeɳɖ,tuːɭ,,dwa,n̥ɪʔ,,,iɾuɖu,,ˈkɑksi,tvɪə̯,ˈku̯okːte,,,,,sɔːŋ˩˩˦,,,ɥpa,d̪eː,duɖə,,d̪ˠoː,tsvɛj,tʰveiːr,,,dui,doj,,ˈdʋáː,pa.ja,,,n̠ʲi˨˩,ir(ḍu),,,iki,iki,,iɾat,,,,dva,dva,,,iˈkɪ̞,iˈkːi,,,,pa:nɖa,haːj˧˧,əddu,ˈdu.e,,,jeɾaɖu,,ɾaɖɖu,,ʒiri,jɛɾˈku,ˈdu.o,,,ɾeɳɖu,,ɾendə,,,,t͡svaɪ̯,dy,,t͡sweː,,,,dø,ŋei˧,ɲ̟i,ɔri,toː,duː,xɔjər,ˈdva.ja,,tʋeː,,,,daɨ̯,iɾandə,jɔri,bīr,da.laˈwa,i:rəb,,,,,ˈikʲːɘ,e:ɖə,,ˈdʋɑ,,ʒur,*gȵis,duə,,dva
eat,,ˈxwɑːɾɯn,,,məɲˈʒa,tin atej,kin˩˧ kʰau˨˩,timbə,,ˈjadɛ,,,,sa:pədə,,ˈɛːˌta,tinə,,,,dʒeʋi,,koˈmeɾ,,,,,,jiːst,,,,ko.ˈme(ʁ),,,tinu,ˈtro̞o̞,tinnu,ɕʰiks͈a̠ɦa̠da̠,,,,,,tin,,ˈsyø̯dæˣ,,,,,,,kin˧.kʰaːw˥˩,,,,,a:ntisatun,,ɪ,,,,,,luˈa,,,,,,,tin,,,,jeˈmæk,,kuning,,,,,jesʲtʲ,,,,,,,,dʒa:go:lpah,ʔan˧˧ kəːm˧˧,tinn,manˈdʒa.re,,,tinnu,,uɳa:ɾa,,tʃʼkʼɔmuä,uˈtɛl,,,,tinu,,tinnuga,,ɮá,,ˈʔɛsn̩,,,ˈie̯sen,,,,mɑ̃.ʒe,,,tʃʼämä,spiːsə,,,,,,,,,,tinno:,lizwɛb,,,mokʰna,,,,,,toɾtin,,,,ɔtʃʼkʼɔmu,,,,
good,jáʔátʔɛ́ːh,,,,ˈbɔ,oludə,,oɭɭajadə,doˈbɤr,,,,ˈjoː,nalla,,ɡuːd,nalla,,(d)ʒaˈqsɯ,,assal,,ˈbweno,s̪ɑː.d̪ʱú,maː,,,,ˈdobriː,,,,bõ,,,nejun,kaˈlos,mantʃid,ˈt͡ɕo̞ːtʰa̠,,xə,káʊɴ,,,tukud,,ˈhyʋæ,χut,,,,,,diː˧,,ˈbo,,,sobhatan,bʱɑlo,mˠa,ɡʊt,ˈkouːðʏr,ˈkɔuːwʊɹ,,bʱal,bun,,ˈdòːbər,,,,,tūk,,,,jɑχˈʃɯ,,dʒua:n,,,ət͡ʃ.t͡ʃʰɑː,ˈdɔ.brɨ,xɐˈroʂɨj,,,jɑqˈʂɯ̞,jɑχʃi,,,,he:ɖu,tot̚˧˦,nall,ˈbwɔː.no,,,oɭɭijadu,ˈtɐjːɛp,eɖɖedana,,dʒgiri,lɑv,ˈbo.nus,,,mantʃi,,nalla,,,,ɡuːt,majɾ,ˈɡʲæɾɐs,,,,,bɔ̃,ɗei˨˦,joɕi,kʼärgi,ɡoð,xuːb,sɛ̃ːŋ,ˈdɔbriː,,ɣut,,,,daː,nallə,χɔtʃä,l̥ʾ,maˈbu.ti,da:ʋ,əˈtːʃʰaː,,,,,ulti,,ˈdɔbrɪj,,kʼäi,,baeʔ,,ˈdobrɨ
fat,,,,,,koɭupu,,koɭəppə,,,,,ˈʒiːr,koɻuppə,,fɛt,tʃeɾabi,,,,koɾondʒ,,ˈɡɾasa,,,,,maj,,,,,ɡoɹ.ˈdu.ɾa,,,,ˈli.pos,kodoʋo:s,t͡ɕiba̠ŋ,,,ʔəsʰì,,,me:n,,,,,,,,,kʰaj˩˩˦.man˧,,,,,bʰu:mi,tʃorbi,sˠail̠ʲ,,ˈfɪːta,ˈfiːtɪ,,,,,,,,,,koṛukuḍ,,,ˈj‿a,,,tʃaɾpi:,,,,twuʂt͡ʂ,ʐɨr,,,,,,,,nedʒdʒa,məː˦ˀ˥,tanniʋi,ˈɡras.so,,amavûta,kobbu,,tʃeɾabi,,gägäbi,t͡ʃɑɾp,ˈa.deps,,,koʋʋu (noun),,koɻuppə,,ámafûːtʰa,,fɛt,,rʲɪəbɐˈlɐɪ̯ˑ,,,,,ɡʁɛs,,ɕibo̞ː,tsχimi,fet,tʃærbiː,oːx,tuk,,vɛt,,,,ˈbrastɛr,tʃiɾabi,mətʃχim,k̥ʰlāñ´,,neʈa,tʃərbiː,,,mɑˈfut.ɑ,,koɻəppə,,,,jäʁi,,,,
think,,ˈfɯkɯɾiːn,,,pənˈsa,,,,,,,,ˈɡondolkodik,,,,,,,,,,penˈsaɾ,,,,pi.kir,,ˈpr̝̊ɛmiːʃlɛt,,,,pẽˈsaɾ,,,,ˈsceftome,,sʰe̞ŋɡa̠kʰa̠da̠,,,twé,,,,,ˈɑjɑtelːɑˣ,dəŋk,ˈjurːttaʃih(t),,,,,kʰit̚˦˥,,,,,,,capˠ,,ˈhʏxsa,,,bʱɔ.ba,ɡɨnˈdi,,ˈmiːsliti,,,,,,,,,dyʃynˈmæk,,,,,sotʃn̪aː,ˈmɨɕ.lɛt͡ɕ,ˈdumətʲ,,,,,,,,,ŋi˦ˀ˥,,,,,,ˈħaːsɛp,,,gurtʃämä,mətɑˈt͡sɛl,ˈkoː.ɡi.toː,,,,,,,,,ˈdɛŋkən,mɛnˈdɔj,,,,,,pɑ̃.se,,kamukapu,pʰikʰri,,ˌfekɾ kʲæɾˈd̪æn,,ˈmisli̯ɛc,ħaˈʃav,ˈdɛŋkə(n),,ɡaˈni.za,,ˈmɛðʊl,,liskʼɔrɛ,yl´,,,sotʃn̪aː,,,,,,,ˈdumɐte,,ɔsimädu,,fike(r),,
turn,,,,,ʒiˈɾa,,,,,,,,ˈforoɡ,,,,,,,,,,xiˈɾaɾ,,,,,,ˈtot͡ʃɪt,,,,,,,,,,ˈto̞ːɭda̠,,tɑwaˈwəl,l̥ɛ̰,,,,,,,,,,,,mun˩˩˦,,,,,,,kɑsˠ,,,,,,,,,,,,,,,,dœnmec,,,,,,,,vrɐˈɕːat͡sːə,,,,,,,,,,,dʒiˈrare,,,,,,,rtʰäpʰä,ʃəɾdʒˈvɛl,ˈwer.toː,,,,,,,,,ˈdʁeːən,,,,,,,tuʁ.ne,,,tʼriäli,drajə,ɡæʃtæn,,,,ˈdraːi̯ə(n),,,,,,lisipʼ,,,,,,,,,,,,,ɔkʰtʰu,,,,
cold,,,,,ˈfɾət,koɾʋə,,koɾuʋə,stuˈdɛn,,,,ˈhidɛɡ,kuɭiɾtʃi,,kal,talindʒadə,,,,sallag,,ˈfɾio,,fuəɾ,,,,ˈstudɛniː,,,,ˈfɾi.u,baː.rid,,,,salla:,t͡ɕʰa̠n,,soɻ,ʔé,,,tukud,,,kœut,,,,,ot͡s̻,jen˧,,ˈfɾiʊ,,,pani,,fˠuəɾˠ,,ˈkʰaltʏr,,,,ˈret͡ʃe,,,,,,,pañil,,,soˈɰuk,soˈjuχ,,jakʰ,,,ʈʰən.ɖɑː,ˈʑim.nɨ,xɐˈlodnɨj,,,hɯ̞.ˈwɯ̞q,,,,,panija:,lajŋ̟˧˨ʔ,səjlijə,ˈfreddo,,,taɳɳige,ˈkɪːsɐħ,tʃappa,,ʔini,ˈsɑrə,ˈal.ɡi.dus,kˈylm,,tʃalla,,taɳuppə,āūksts,,,kalt,,ˈʃaltɐs,kaːl,,,,fʁwɑ,,t͡sɨᵝme̞ta̠i,tsivi,kɔl,sæɾd,,,,kɑu̯t,,,,oːɨ̯r,taɳidʒe,mətsχi,rṅā,laˈmiɡ,ki:ɾna,,,,,,koɾti,,xɔˈlɔdnei̯,,qʼini,*ɡraŋ.mo,səd͡ʒoʔ,,xaˈɫodnɨ
name,,ˈnɑːv,,,ˈnɔm,pe:ɾ,sɯː˦˦,esaɾə,ˈimɛ,,,,ˈneːv,pe:ɾə,,namn,peda,,,,poɾol,,ˈnom.bɾe,n̪ɑ́ː.mɐn̪,,,,,ˈjmɛːno,,,,ˈno.mɨ,ism,,doru,ˈo̞no̞ˌma,pedeɾ,iɾɯm,,,ʔəmjì/,,,tukud,,ˈnimi,,ˈnamma,sɨm,,,iˈsen,t͡ɕʰɯː˥˩,,,,,pe:ɾ,nam,ˈanʲəmʲ,nɔmɛn,napn,naun,,,ˈnu.me,,iˈméː,,,,,pidir,,,ɑt̪,ɑd,,pin,,,naːm,ˈi.mʲɛ,ˈimʲə,,,iˈsɪ̞m,ɑt,na.lo,,at,na:mi,ten˧˧,pja:ɾə,ˈno.me,nɔːm,,hesaru,ˈiːsɛm,pudaɾə,,säχɛli,ɑˈnun,,ˈnimi,,pe:ɾu,,peɾə,vàːɾds,îːɡâːma,,ˈnaːmə,ɛməɾ,ˈvɐrːdɐs,num,,,ɾeetwa,nɔ̃,,na̠ma̠e̞,säχɛli,,nɒːm,nir,ˈmɛnɔ,,naːm,,ˈd͡zí.na,,ˈɛnʊ,pe:ɾu,ʒäχɛ,j̥ʰmoḥ,,na:me,,,,,,pe:ɾ,,iˈmjɑ,,dʒɔχɔ,*miŋ,namə,,jiˈmʲa
push,,,,,əmˈpə.ɲə,,,,,,,,ˈtol,,,²ɧʉːta,,,,,,,empuˈxaɾ,,,,doroŋ,,ˈtlat͡ʃɪt,,,,ẽ.pu.ˈʁaɾ,,,,,,miɭda̠,ˈhɛrðja,,tʊ́ɴ,,,,,ˈtyøntæːˣ,,,,,,,dan˧,,,,,,,,,ˈr̥ɪnta,,,,,,,,,,,,,,itmec,,,,,,d̪ʱə.keːl.nɑː,pxat͡ɕ,tɐlˈkatʲ,,,,,,,,,so˧˧,,ˈspindʒere,,,,,,,ɛkʼɔkʼinä,həˈɾɛl,ˈpel.loː,,,,,,,,,ˈdʁʏkŋ̩,,,,,,,pu.se,,,mitsʼɛvä,skɔbɘ,,tuɮxəx,ˈtɫat͡ʃic,,ˈdyu̯ə(n),,,,,,likʰχɛ,ruñ,,,,,,,,,ˈtrjoːə,,,mɛkʼäntʃʼinu,,to.laʔ,,
earth,,,,,ˈtɛ.rə,bʰulo:gam,,,zɛˈmʲa,,,,ˈtɒlɒj,mannə,,juːɖ,mannə,,,,mannə,,ˈtje̞.ra̠,,,,ta.nah,,ˈzɛmjɛ,,,,ˈtɛʁɐ,tur.ba,,bʰumi,,maʈʈi,xɯk̚,,,mjè,,,tukud,,ˈmɑː,ˈɑːr.də,,,,,,din˧,,,,,bʰu:mi,,,,jœrð,jøːɹ,,,pəˈmɨnt,,ˈzɛ̀ːmlja,,,,,tūk,,,topˈɾɑk,torˈpɑχ,,ɖaga:ɾ,,,dʰərtiː,ˈʑɛ.mʲa,zʲɪˈmlʲa,,,,,,,,bʰumi,ʔɗət̚˧˦,bu:mi,ˈtɛr.ra,,,maɳɳu,,mannə,,diχä,hɔʁ,ˈter.ra,,,mannu,,mannə,zɛmɛ,ínɬaɓâːtʰi,,ˈeːɐ̯də,ðɛ,ˈʒʲæːmʲeː,,,,,tɛʁ,,d͡ʑi,mitsʼä,joːr,,xors,ˈzɛm,adaˈma,ˈaːr.də,,,,,,gim,,ˈlu.paʔ,kʰekʰel,,,,,,koɖə,,zeˈmlʲɑ,,lɛtʼä,*sa,bumi,,zʲaˈmlʲa
dig,,,,,kəˈva,,,,,,,,ˈaːʃ,,,,,,,,,,ekskaˈbaɾ,,,,,,ˈkopat,,,,,ħa.fa.ra,,,,,pʰa̠da̠,,,tú,,,,,,,,,,,,kʰut̚˨˩,,eskaˈβaɾ,,,,,ˈt̪ˠɔxəlʲ,,,,,kʰan.da,,,kɔˈpàːti,,,,,,,,,,,,,,kʰoːd̪.nɑː,ˈkɔ.pat͡ɕ,kɐˈpatʲ,,,,,,,,,ʔɗaːw˨˩,,skaˈvare,,,,,,,ntʰχɔruä,pʰɔˈɾɛl,ˈfo.di.oː,,,,,,ɾakt,,,ˈɡʁaːbən,,,ˈɡʀue̯ven,,,,kʁø.ze,,,tʰχrä,ɡraːvə,kʲænˈdæn,,ˈkɔpac,,ˈɣraːvə(n),,,,,,libərdʒɛ,,,,,,,,,,,,,ɔntʰχɔru,,ɡali,,
