word,de,nl,af,en,yi,fy,no,sv,da,is,fo,lv,lt,pl,cs,sk,sl,bg,mk,be,uk,ru,pt,gl,es,ca,oc,fr,it,ro,ga,cy,br,gd,gv,sq,hy,el,ka,xmf,lzz,sva,te
when,van,ʋɑˈneːr,,ʍɛn,,,,,vɔrnɔːr,,,,kɐˈdɐ,ˈkʲɛ.dɨ,ɡdɪ,,ˈɡdàːj,,ˈkɔɡa,,kɔˈlɪ,kɐɡˈda,ˈkwɐ̃.du,,ˈkwando,ˈkwan,,kɑ̃,ˈkwando,kɨnd,kəˈhɪnʲ,prɨːd,,,,,jɛɾpʰ,ˈpote,rɔdis,muʒäms,mundɛs,ʃɔmä,
how,viː,ɦu,,haʊ,,,ˈkʊrlæɪs,hʉːr,,,,,kaɪˑp,jak,jak,ˈjak,kaˈkòː,,ˈkakɔ,,,kak,ˈko.mu,,ˈkomo,ˈkɔm,,kɔ.mɑ̃,ˈkome,kum,ˈkʊnˠəsˠ,sɨ̞t,,,,si,int͡ʃʰˈpɛs,ˈpos,rɔgɔr,mutʃʼɔ,mutʃʼɔ,imʒi,
not,nɪçt,nit,ni,nɒt,nit,ˈnɛt,²ɪçːə,ˈɪnˌtɛ,ekə,ˈɛhcɪ,ˈɪʰtʃːɪ,,,ɲɛ,nɛ,,ˈnɛ́,nɛ,,nʲe,ˈnɛ,nʲɪ,nɐ̃w̃,ˈnʊŋ,no,ˈno,,nə,non,nu,n̠ʲiː,dɪm,,,,nʊk,t͡ʃʰ,ðe̞,är,vär,vär,dɛmɛ,
all,al,ɑl,,ɔːl,ˈalə,,,ˈalˌa,alə,,ˈat.lʊɹ,,ˈvʲɪ.sɐs,ˈfʂɨ.stɛk,ˈfʃɪxɲɪ,ˈfʃɛtɔk,ˈʋə́s,,ˈsitɛ,,,vʲesʲ,ˈto.ðu,,ˈtodos,ˈtot,tut,tus,ˈtutto,tot,ˈɪlʲə,ɪˈɡɨːd,,,,ɡjiθ(ə),bɔˈlɔɾ,,qʼvɛlä,ärdzä,iri,mæg,
many,ˈfiːlə,veːl,bajə,ˈmɛni,aˈsax,,,,manɡə,ˈmarkʏr,ˈmɛŋkʊɹ,dāūdz,dɐuɡ,ˈvʲɛ.lɛ,ˈmnoɦo,,ʋɛˈlìːkɔ,,ˈmnɔɡu,,bɐˈɦɑtɔ,ˈmnoɡə,ˈmũj̃.tuʃ,,ˈmut͡ʃos,ˈmolt,,bo.ku,,mult͡sʲ,əˈl̪ˠɑːnˠ,,,ˈiməɣ,,,ʃɑt,,bɛvri,brɛli,didɔ,mäsærd,
some,,ʋɑt,,sʌm,,,,ˈnoːˌ(ɡ)ra,noən,,,,,ˈtrɔ.xɛ,ˈɲɛkolɪk,ˈɲi̯ɛkɔʎkɔ,,,,,ˈkilʲka,nʲɪˈmnoɡə,al.ˈɡũʃ,,,,,dy,,,ɾˠəɪn̠ʲtʲ,,,,,,,,zɔgi,nämtʰinɛ,bäzi,ɛrχi,
few,ˈveːnɪç,ˈʋɛi̯nəx,,fjuː,,,,foː,fɔː,,,,,ˈma.wɔ,ˈmaːlo,ˈmaːlo,mâlo,,ˈmaɫku,,ˈmɑlo,nʲɪˈmnoɡʲɪj,ˈpow.kuʃ,,,ˈpɔk,,pø,ˈpɔ.ko,puˈt͡sin,bʲɔɡ,əˈχədɨ̞ɡ,,,,,kʰitʃʰ,ˈliɣos,tsɔtʼä,tʃʼitʃʼɛ,mtsikʰä,mɔid,
other,ˈʔandəʀə,ˈɑn.dər,,ˈʌðə(ɹ),,,,,andrə,,,,,ˈin.nɨ,ˈdruɦiː,ˈdruɦiː,ˈdrùːɡi,druk,,ˈjinʂɨ,ˈinʃɪj,drʊˈɡoj,ˈo(w).tɾu,,ˈotɾo,,,otʁ,ˈal.tro,alt,ˈɛlʲə,ˈaraɬ,ˈalː,ˈelə,,,ɑjl,,sχvä,ʃχvä,tʃkʰvä,iʃgɛn,
one,aɪ̯ns,eːn,,wʌn,,,,ɛt,,eitn,,viɛ̂ns,,ˈjɛ.dɛn,ˈjɛdɛn,ˈjɛdɛn,,,,,oˈdɪn,ɐˈdʲin,ˈũ,,ˈuno,ˈun,,œ̃,ˈuno,ˈu.nu,iːnˠ,ɨːn,ˈỹː.nãn,ɯːn,nɛːn,ɲə,mɛk,ˈe̞na,ɛrtʰi,ärtʰi,är,ɛʃχu,okaʈi
two,t͡svaɪ̯,tʋeː,tvɪə̯,tuː,tsvɛj,,,tvoː,toː,tʰveiːr,,,,dva,dva,ˈdva.ja,ˈdʋáː,,,dva,ˈdʋɑ,dva,ˈdojʃ,,dos,ˈdos,,dø,ˈdu.e,doj,d̪ˠoː,daɨ̯,,,d̪eː,dy,jɛɾˈku,ˈðiˌo̞,ɔri,ʒiri,ʒur,jɔri,
three,dʁaɪ̯,dri,,θɹiː,dʁaj,,,treː,,θriːr,trʊdʒɪr,trîːs,,tʂɨ,tr̝ɪ,ˈtri,ˈtríːjɛ,,,,trɪ,trʲi,ˈtɾeʃ,,tɾes,ˈtɾəs,tres,tʁwɑ,tre,trej,tʲɾʲiː,triː,,,t̪riː,tɾɛ,jɛˈɾɛkʰ,ˈtri.a,sämi,sumi,sum,sɛmi,muːɖu
four,fiːɐ̯,vir,,fɔː,fiʀ,,,ˈfyːˌra,fiːrə,ˈfjouːrir,ˈfʊiːɹa,tsætri,kʲɛt̪ʊˈrʲɪ,ˈt͡ʂtɛ.rɨ,ˈt͡ʃtɪr̝ɪ,ˈʃtiri,ˈʃtìːrjɛ,,,t͡ʂaˈtɨrɨ,t͡ʃoˈtɪrɪ̞,t͡ɕɪˈtɨrʲe,ˈkwa.tɾu,,ˈkwatɾo,ˈkwa.tɾə,ˈkatre,katʁ,ˈkwat.tro,ˈpa.tru,ˈcahəɾʲ,ˈpɛdwar,,,kʲeːə(r),ˈkatəɾ,t͡ʃʰɔɾs,ˈte̞se̞ˌra,ɔtʰχi,ɔtʰχi,ɔtʰχɔ,wɔʃtʰχw,n̪aːl̪uɡu
five,fʏnf,vɛi̯f,,faɪv,fɪnf,,,fɛm,,fɪmː,fɪmː,pìɛtsi,,pʲɛɲt͡ɕ,ˈpjɛt,ˈpɛc,péːt,,,,ˈpjɑtʲ,pʲætʲ,ˈsĩ.ku,,ˈθinko,ˈsiŋk,siŋk,sɛ̃k,ˈt͡ʃin.kwe,t͡ʃint͡ʃʲ,kuːɟ,pɨ̞mp,ˈpɛmp,koːɡ̊ʲ,kwɛɡ,pɛs(ə),hiŋɡ,ˈpe̞(n)de̞,χutʰi,χutʰi,χutʰ,wɔχuʃd,aid̪u
big,ɡʁoːs,,,bɪɡ,,,,ˈvɵkˌsɛn,,,,,,dɔˈrɔ.swɨ,,,,,ˈɡɔlɛm,,ʋeˈlɪkei̯,bɐlʲˈʂoj,mɐjˈɔɾ,,maˈɟ͡ʝoɾ,ˈɡɾan,,ɡʁɑ̃,ˈɡran.de,,,,,,,,mɛt͡s,,didi,didi,didi,χɔʃä,
long,laŋ(k),lɑŋ,,ˈlɒŋ,,,,lɔŋ,lanɡ,ˈlaŋkʏr,ˈlɛŋkʊɹ,,,ˈdwu.ɡʲi,ˈdlou̯ɦiː,ˈdl̩ɦiː,ˈdɔ́ːwk,ˈdɤlək,,ˈdou̯ɣʲi,ˈdɔu̯ɦei̯,ˈdlʲinːɨj,ˈlõ.ɡu,,ˈlarɡo,ʎuˈɲa,,lɔ̃,ˈlunɡo,luŋɡ,ˈfˠɑd̪ˠə,hiːr,,fad̪̊ə,,,jɛɾˈkɑɾ,,grdzɛli,gindzɛ,gundzɛ,dʒwɛdi,
wide,bʀaɪ̯t,,,waɪd,,,,viːd,,ˈpreiːðʏr,ˈpɹaijʊɹ,plats,,ʂɛˈrɔ.kʲi,ˈʃɪrokiː,,,ʃiˈrɔk,,ʂɨˈrokʲi,ʃeˈrɔkei̯,ʂɨˈrokʲɪj,ˈlaɾ.ɡu,,ˈaɲ.tʃo,,,laʁʒ,ˈlarɡo,larɡ,ˈl̠ʲahənˠ,ˈɬədan,,,,ˈɟ͡ʝɛ.ɾə,lɑjn,,pʰärtʰɔ,pʰärtʰɛ,mbɔli,mäʃri,
thick,dɪk,dɪk,,θɪk,,,çʊkː,ɕɔk,tyk,ˈθjɛhtʏr,t͡ʃʰʏʰkːʊɹ,,,ˈɡru.bɨ,ˈtlustiː,ˈtɫ̩stiː,ˈdɛ̀ːbɛw,dɛˈbɛl,,ˈtou̯stɨ,,ˈtolstɨj,iʃ.ˈpe.su,,ˈɡɾweso,,,e.pɛ,ˈspes.so,ɡros,tʲuː,teːu̯,,tʰʲu,,,hɑst,,skʰɛli,ʃχu,pʼɛdʒi,sgɛl,
heavy,ʃveːɐ̯,zʋaːr,,ˈhɛ.vi,,swiər,tʊŋː,tɵŋ,tɔnɡ,ˈθuŋkʏr,,smaks,sʊŋˈkʊs,ˈt͡ɕɛŋ.ʂkʲi,ˈcɛʃkiː,ˈcaʃ.kiː,ˈtɛ̀ːʒək,ˈtɛʒək,ˈtɛʒɔk,ˈt͡sʲaʂkʲi,ʋɐˈʒkɪi̯,tʲɪˈʐolɨj,pɨ.ˈza.ðu,,peˈsado,,,luʁ,peˈsante,ɡrew,t̪ˠɾˠuːmˠ,trʊm,,,,,ˈtsɑnəɾ,,mdzimɛ,mɔnkʼä,mɔnkʼä,gwæmi,
small,klaɪ̯n,klɛi̯n,,smɔːl,ˈkleɪn,,,ˈliːˌtɛn,lilə,smauːr,,,ˈmaːʒɐs,ˈma.wɨ,ˈmaliː,ˈmaliː,ˈmáːjxən,ˈmalək,maɫ,maˈlʲenʲkʲi,mɐˈlɛnʲkei̯,ˈmalʲɪnʲkʲɪj,pɪ.ˈke.nʊ,peˈkeno̝,peˈkeɲo,pəˈtit,,pə.ti,pikˈko.lo,mik,bʲɔɡ,baːχ,,pek,,ˈvɔɡəl,ˈpʰɔkʰəɾ,miˈkro̞s,pʼätʼärä,tʃʼitʃʼɛ,tʃʼutʼä,χɔχrä,
short,kʊʁt͡s,kɔrt,,ʃɔːt,,,,kɔrt,kɔrt,ˈstʏhtʏr,,îːs,,ˈkrut.kʲi,ˈkraːtkiː,ˈkraːtki,ˈkràːtək,ˈkɤs,ˈkratɔk,kaˈrotkʲi,kɔˈrɔtkei̯,kɐˈrotkʲɪj,ˈkuɾ.tu,,ˈkorto,ˈkuɾt,,kuʁ,ˈkorto,skurt,ɟaːɾˠ,bɨ̞r,,ˈkɤɾʲɪtʲ,,,kɑɾt͡ʃ,,mɔkʼlɛ,kʼuntʼä,mkʼulɛ,kʼudæ,
narrow,ɛŋ,nɑu,,ˈnæɹoʊ,,,,,snɛvər,ˈθrøyŋkʏr,,ʃàuɾs,,ˈvɔ̃s.kʲi,ˈuːskiː,ˈuːski,ˈòːzək,ˈtɛsɛn,,ˈvuskʲi,wʊˈzʲkɪi̯,ˈuskʲɪj,iʃ.ˈtɾɐj.tu,,es̺ˈtɾe.tʃo,əsˈtɾət,,e.tʁwa,ˈstretːo,strɨmt,kuːŋ,kɨːl,,kʰɯːɫ̪,,,nɛʁ,,vitsʼrɔ,intsʼrɔ,ndäri,näχwtsʼi,
thin,dʏn,,,ˈθɪn,,,,,,ˈθʏnːʏr,,tiêws,,ˈt͡ɕɛn.kʲi,ˈtɛŋkiː,ˈcɛŋkɔ,,ˈtɤnək,ˈtɛnɔk,ˈtonkʲi,,ˈtonkʲɪj,ˈfi.nu,,ˈfino,,,mɛ̃s,sotˈtile,slab,keːl̪ˠ,ˈtɛnaɨ̯,,,,,bɑˈɾɑk,,tʰχɛli,tʰχitʰχu,tʰitʰχu,dətʰχɛl,
woman,fʁaʊ̯,vrɑu̯,,ʊ,,,²kʋɪnːə,ˈkvɪnːˌa,ˈkʰvenə,ˈkʰɔːna,,,ˈmoːtʲɛrʲɪs,kɔˈbʲɛ.ta,ˈʒɛna,ˈʒe.na,ˈʒèːnska,ʒɛˈna,ˈʒɛna,ʐanˈt͡ʂɨna,ˈʒʲinkɐ,ˈʐɛnʲɕːɪnə,muˈʎɛɾ,muˈʎɛɾ,muˈxeɾ,ˈdɔ.nə,ˈfenno,fam,ˈdɔn.na,feˈmeje,bʲanˠ,,,b̥ɛn,bɛᵈn,ˈɡɾua,kin,ʝiˈne̞ka,kʰäli,ɔsuri,ɔχɔrdʒä,zuräl,
man,mɛnʃ,mɛns,,mæn,mɛnt͡ʃ,ˈminskə,²mɛnːɛʃə,mɛnːɪɧa,,ˈmanːɛsca,,tsìlvæ̀ːks,ʒmoˈɡʊs,ˈt͡ʂwɔ.vʲɛk,ˈt͡ʃlovjɛk,ˈt͡ʃɫɔvɛk,ˈtʃlɔ̀ːʋɛk,tʃoˈvɛk,ˈt͡ʃɔvɛk,t͡ʂaɫaˈvʲek,,t͡ɕɪlɐˈvʲek,ˈɔmẽɪ̯,ˈɔmɪ,ˈombɾe,ˈɔ.mə,,ɔm,ˈwɔ.mo,om,ˈd̪ˠɪnʲə,dɨːn,,t̪ɯɲə,,ɲɛˈɽi,mɑɾtʰ,ˈanθɾɔpɔs,kʼätsi,kʼɔtʃi,kʼɔtʃi,märɛ,
human,mɛnʃlɪç,,,ˈ(h)juːmən,,,,²mɛnsklɪ(ɡ),,,,,,ˈlut͡s.kʲi,ˈlɪtskiː,,tʃlɔˈʋèːʃki,,,,,t͡ɕɪlɐˈvʲet͡ɕɪskʲɪj,u.ˈmɐ.nu,,uˈma.no,uˈma,,y.mɛ̃,,o.meˈnesk,,,,,,,mɑɾtʰkɑˈjin,,ädämiäni,kʼɔtʃi,kʼɔtʃi,ämswäld,
child,kɪnt,kɪnt,kənt,t͡ʃaɪld,kɪnd,bɛːn,bɑːrn,bɑːrn,barn,ˈpartn,ˈpatn,bæ̀ːɾns,ˈvɐɪ̯ˑkɐs̪,ˈd͡ʑɛt͡s.kɔ,ˈɟiːcɛ,ˈɟi̯e.ca,ɔˈtrɔ́k,dɛˈtɛ,ˈdɛtɛ,,deˈtɪnɐ,rʲɪˈbʲɵnək,ˈfi.ʎu,ˈne.na,ˈixo,ˈnən,,ɑ̃.fɑ̃,bamˈbi.no,fiw,ˈpˠɑːʃtʲə,ˈplɛntɨ̞n,,,,,jɛɾɛˈχɑ,peˈði,bävʃvi,bäʁänä,bɛrɛ,bɛpʰʃw,paːpa
wife,,vrɑu̯,,waɪf,,,,hɵ̄sːtrʉ̂ː,,ˈeiːjɪn.kʰɔːna,,sīɛ̄va,,ˈʐɔ.na,ˈmanʒɛlka,,ˈʒɛ̀ːna,ʒɛˈna,ˈʒɛna,ˈʐonka,druˈʐɪnɑ,ʐɨˈna,es.ˈpo.za,esˈposa̝,esˈposa,ˈdɔ.nə,ˈfenno,fam,ˈspɔ.za,,bʲanˠ,ɡuˈrai̯ɡ,ˈɡwʁɛːk,,,ˈɡɾua,kin,,tsɔli,ɔsuri,ɔχɔrdʒä,χɛχw,
husband,,mɑn,,ˈhʌzbənd,,,,ˈmɑːˌkɛ,mæn,ˈeiːjɪn.maːðʏr,ˈmɛaːvʊɹ,vīːɾs,ˈʋʲiːrɐs,mɔŋʂ,ˈmanʒɛl,,ˈmóːʃ,ˈmɤʃ,maʃ,muʂ,t͡ʃɔlɔˈu̯ʲik,muʂ,ma.ˈɾi.du,,maˈɾido,məˈɾit,,ma.ʁi,maˈri.to,sots,fʲaɾˠ,ɡuːr,ˈɡwaː,,,bur,ɑmuˈsin,,kʰmäri,kʰɔmɔndʒi,kʰɔmɔli,tʃʼæʃ,
mother,ˈmʊtɐ,ˈmu.dər,,ˈmʌðə(ɹ),ˈmʊtəʁ,,,muːr,,ˈmamːa,ˈmɔuwɪr,māːtɛ,,ˈmat.ka,ˈmatka,ˈmatka,ˈmàːti,ˈmajkə,,,ˈmɑte,matʲ,mɐ̃j̃,ˈnaj,ˈmadɾe,ˈma.ɾə,ˈmajɾe,mɛʁ,ˈma.dre,ˈma.mə,ˈmˠɑːhəɾʲ,mam,ˈmãmː,ˈmaːhəɾʲ,maːɹ,,mɑjɾ,miˈtera,dɛdä,didä,nänä,di,
father,ˈfaːtɐ,ˈvaː.dər,fɑːdər,ˈfɑː.ðə(ɹ),ˈfɔtəʁ,hai̯t,,,,ˈfaːðɪr,ˈfɛaːjɪɹ,tǣːws,ˈtʲeːvɐs,ˈɔj.t͡ɕɛt͡s,ˈotɛt͡s,ˈɔcɛt͡s,ˈɔ̀ːtʃɛ,bɐˈʃta,,ˈbat͡sʲka,ˈbɑtʲkɔ,ɐˈtʲet͡s,paj,,ˈpadɾe,ˈpa.ɾə,ˈpajɾe,pɛʁ,ˈpa.dre,ˈta.tə,ˈahəɾʲ,taːd,ˈtɑːt,ˈahəɾʲ,ˈeːar,baba,hɑjɾ,paˈteras,mämä,mumä,bäbä,mu,
animal,tiːɐ̯,dir,,ˈænɪməl,,,,jʉːr,dyːr,tiːr,t͡ʃɔuːr,dzîunìɛks,ɡʲiːˈʋuːnɐs,ˈzvʲɛ.ʐɛ,ˈʒɪvot͡ʃɪx,ˈʒivɔt͡ʃiːx,ʒiˈʋáːw,ʒiˈvɔtno,ʒiˈvɔtnɔ,,tʋɐˈrɪnɐ,ʐɨˈvotnəjə,ˌɐ.ni.ˈmaw,,aniˈmal,ə.niˈmal,,a.ni.mal,aniˈmale,a.niˈmal,anʲəvʲiː,aˈnɪvai̯l,ˈlo.ɛ̃n,,,,kɛntʰɑˈni,ˈzo.o,tsχɔvɛli,tsχɔvɛli,häjväni,tsχɔwɛl,
fish,fɪʃ,vɪs,fəs,ˈfɪʃ,fɪʃ,fɪsk,,fɪsk,fesk,ˈfɪskʏr,ˈfɪskʊɹ,ziws,,ˈrɨ.ba,ˈrɪba,ˈriba,ˈrìːba,ˈribə,,ˈrɨba,ˈrɪbɐ,ˈrɨbə,ˈpɐjʃɨ,ˈpejʃe̝,ˈpeθ,ˈpeʃ,,pwa.sɔ̃,ˈpeʃːe,ˈpeʃte,iəsˠk,pəsˈɡɔdɨ̯n,,,jiːst,pɛʃk,d͡zuk,ˈp͡sari,tʰɛvzi,tʃχɔmi,tʃχɔmi,tsuz,t͡ʃeːpa
bird,ˈfoːɡəl,ˈvoːɣəl,,bɜːd,fɔjɡl,,fʉɡl,foːɡəl,fuːl,fʏkl,,,ˈpɒʊk.ʃtʲɪs,ptak,ptaːk,ˈftaːk,ˈptítʃ,ˈptitsə,ˈpti.t͡sa,,ˈptɑx,ˈptʲit͡sə,ˈpa.sa.ɾu,,ˈpaxaɾo,ˈaw,awˈsɛl,wa.zo,uˈt͡ːʃɛlːo,,eːnˠ,aˈdɛrɨ̞n,,ian,ˈoʒaɡ,zɔɡ,tʰərˈtʃʰun,puˈli,tʃitʼi,kʼvintʃä,kʼintʃi,næpʼr,pakʂi
dog,hʊnt,ɦɔnt,ɦɔnt,dɒɡ,hʊnt,huːn,,hɵnd,hun,ˈhʏntʏr,ˈhʊntʊɹ,,ʂuə,pʲɛs,pɛs,ˈpɛs,ˈpə́s,ˈkutʃɛ,,,,sɐˈbakə,ˈkɐ̃w̃,,ˈpero,ˈɡos,ˈɡus,ʃjɛ̃,ˈka.ne,ˈkɨj.ne,ˈmˠad̪ˠɾˠə,kiː,,kuː,ˈmɔːðə,cɕɛn,ʃun,ˈscilos,dzäʁli,dʒɔʁɔri,dʒɔʁɔri,ʒɛʁ,kukːa
louse,laʊ̯s,lœy̯s,,laʊs,,,,,,luːs,lʉuːs,,,vɛʂ,ˈvɛʃ,ˈvɔʃ,ˈúːʃ,ˈvɤʃkə,ˈvɔʃka,voʂ,ˈwɔʃɐ,voʂ,pi.ˈo.ʎu,,ˈpjo.xo,ˈpoʎ,peˈzul,pu,pi.ˈdɔk̚.kjo,,,ˈɬeɨ̯ɛn,ˈlɔw,,,mɔr,vɔˈt͡ʃʰil,,tʼili,tʼi,tʼi,tʼiʃ,
snake,ˈʃlaŋə,slɑŋ,slɑŋ,ˈsneɪk,ʃlaŋ(ɡ),,,ˈʊrm,,ˈstnauːkʏr,,tʃūska,ɡʲiːˈʋaːtʲeː,vɔŋʂ,ɦat,ˈɦat,ˈkàːtʃa,zmiˈja,,zʲmʲaˈja,,zmʲɪˈja,ˈkɔ.bɾa,ˈsɛɾpe̝,serˈpjente,ˈseɾp,,sɛʁ.pɑ̃,serˈpɛn.te,ˈʃarpe,ˈn̪ˠæhəɾʲ,nei̯dr,ˈnaɛr,,,ˈɟ͡ʝaɾpəɹ,ɔt͡sʰ,ˈfiði,gvɛli,gvɛri,tsʼitsʼilä,hwidʒ,paːmu
worm,,,,wɜːm,,,,,,ˈmaθkʏr,,,,ˈrɔ.bak,ˈt͡ʃɛrf,ˈt͡ʃɛrw,ˈtʃə́rw,ˈtʃɛrvɛj,,,,t͡ɕerfʲ,ˈvɛɾ.mɨ,ˈbɛɾme̝,ɡuˈsano,ˈkuk,,vɛʁ,ˈvɛrme,,pʲeːʃtʲ,,pʁɛ̃,,beˈʃtʲeːɡ,kɾimb,vɔɾtʰ,sku.ˈli.ci,tʃʼiä,tʃʼiä,tsʼitsʼi,mətʼ,
tree,baʊ̯m,boːm,bʊəm,tɹiː,bɔjm,bɪə̯m,,,trɛː,tʰrjɛː,tɹɛaː,kùoks,ˈmʲæːdʲɪs,ˈdʐɛ.vɔ,strom,strɔm,drɛˈʋóː,dərˈvɔ,,ˈdreva,,ˈdʲerʲɪvə,ˈaɾ.vu.ɾɨ,,ˈarbol,ˈa.bɾə,,aʁbʁ,ˈal.be.ro,ˈarbore,kɾˠaun̪ˠ,ˈkɔɨ̯dɛn,ɡwe,,ˈbilʲə,,t͡sɑr,ˈðe̞n.dro̞,χɛ,dʒä,ndʒä,mɛgɛm,t͡ʃeʈːu
