word,sl,km,be,ka,kfb,ku,th,cy,pl,af,tcx,tcy,mk,fo,kxv,ug,bn,tr,fr,vro,yi,lb,is,gon,ko,bo,pt,hu,he,brh,sq,zu,oc,en,sa,sk,tl,az,ga,nl,mn,kfa,xub,et,kn,my,liv,ny,lo,kru,es,gdb,ro,lt,fi,za,vot,sv,uk,ur,ta,vi,kfe,da,nn,bfq,la,hy,de,id,br,lzz,gv,mt,fa,krl,el,cs,sva,ms,te,yea,ca,hi,ar,ml,bg,kff,xmf,tg,ps,vep,ru,it,ja,fy,se,lv,gd,gl,mjt,pci,ba,as
this,ˈtáː,neḥ,,ɛs,id,,niː˦˥,hʊn,tɛn,dɨt,idə,undu,ˈɔvɔj,,idu,bu,,bu,sə,ˈsːeo,,des,ˈθɛsːɪ,id,i,,ˈɛʃ.tɨ,,ˈe.le,da:,ky,,,ðɪs,,,,bu,ʃɔ,ˈdeːzə,,idə,idə,ˈseː,idhu,,ˈse̞,,niː˥˦,i:d,ˈeste,idə,aˈt͡ʃest,,ˈtæmæ,,ˈse,,,,inta,naj˨˩,idhə,,,idə,hik,ɑjs,ˈdiːzər,,,äjä,,,ʔin,ˈtæmæ,aˈftos,ˈtɛnto,äli,ini,ī,iʋe:,əˈkəst,jəʱ,haː.ðaː,i:,ˈt̪ɔzi,iddu,tʰɛnä,,,ˈnetse,ˈɛtət,ˈkwes.to,ko̞no̞,,,ʃis,ʃɔ,,i:du,ī,,
die,,tāy,,sikʼvdili,tigte:n,,taːj˧,,uˈmʲɛ.rat͡ɕ,,keɖuoisi,sajjaɾa,,,,,,œlˈmɛc,mu.ʁiʁ,ˈkːuːlmɑ,,,ˈteiːja,ha:,t͡ɕuk̚t͈a̠,,mu.ˈʁeɾ,ˈmɛkhɒl,,kahing,vdɛs,fá,,daɪ,mɐ́.ɽɐ.t̪i,ˈumri̯ɛc,,œlˈmæk,,ˈdoːtxaːn,,tʃ:ɭa,maɾdo:g,ˈsuremɑ,sa:ji,θè,ˈkuːolɨ,,taːj˩˧,kʰena,,tukud,muˈri,ˈmʲɪrʲ.tʲɪ,ˈkuolːɑ,taːi˨˦,ˈkoːlːɑ,,,mərna,tʃa:,t͡ɕet̚˧˦,ta:ʋə,dø,,sa:ʋadə,ˈmo.ri.or,mɛrˈnɛl,ˈʃtɛʁbən,,,ʁurä,,mɪːt,moɾˈd̪æn,ˈkuolːɑ,peˈθeno,ˈumr̝iːt,dägrä,mati,tʃatʃtʃipo:ʋu,tʃa:ɭa,muˈɾi,məɾ.nɑː,ˈmaːta,maɾikkuga,oˈmiɾəm,ɖollatam,ʁurä,murdæn,,ˈkoldɑ,ʊmʲɪˈratʲ,moˈrire,ɕinɯ̟ᵝ,,ˈjaːpmiːh(t),mīɾt,,,keəa:na:keəida:h,cay,,mɔɹ
drink,ˈpiːti,pʰẏk,,smä,aniɾusa:t,ˈvɛxwɑːɾɯn,dɯːm˨˩,ˈəvɛd,pʲit͡ɕ,,uʈʈudi,paɾijaɾa,ˈpi.ɛ,ˈtɾɛʰkːa,,,,it͡ʃˈmɛ́c,bwaʁ,ˈjuːmɑ,,ˈdʀeŋken,ˈtrɛhka,un,ma̠ɕʰida̠,*ⁿtʰuŋ,be.ˈbeɾ,ˈisik,ʃaˈta,kuning,pi,,ˈbewre,dɹɪŋk,pí.bɐ.t̪i,ˈpic,,itʃmæc,oːl̪ˠ,ˈdrɪŋkə(n),,kuɖipa,kuɖi,ˈjoːmɑ,kuḍi,θaʊʔ,ˈjuːod̪ɨ,,dɯːm˦˦,onna,beˈβeɾ,un,be̯a,ˈɡʲɛrʲ.tʲɪ,ˈjuodɑ,,ˈʝuvːɑ,drɪkːa,,,kuɖi,ʔuəŋ˧˦,unatukə,drekə,,kuɖapə,ˈbi.boː,χəˈmɛl,ˈtʁɪŋkən,,ˈe.vɑ̃,ɔʃu,,ˈʃɔrɔp,nuːʃiːˈdæn,ˈjuːvːɑ,ˈpi.no,piːt,litʰrɛ,minom,ta:gu,kuɖipə,ˈbəw.ɾə,piːn̪ɑː,ʃa.ri.ba,kuṭi,ˈpijə,unnu,ʃumä,nɵʃidæn,,ˈjodɑ,pʲitʲ,ˈbe.re,no̞mɯ̟ᵝ,ˈdrɪŋkə,ˈjuhkah(t),dzɛɾ̂t,ɔːɫ̪,,ho:na:,un,,
come,ˈprìːti,mk,,mɔsvlä,ʋa,ˈhɑːtɯn,maː˧,doːd,pʂɨˈxɔ.d͡ʑit͡ɕ,kɔm,pa:ɾti,baɾaɾa,,,,,,ɡælˈméc,və.niʁ,ˈtːulɤmɑ,ˈkʊmən,,ˈkʰɔːma,ʋa,o̞da̠,*joŋ,ˈviɾ,ˈjøn,,banning,,za,,kʌm,,,pu.mun.ˈta,,t̪ˠaɾˠ,ˈkoːmə(n),irəx,ba:,ba:ɾ,ˈtulemɑ,baru,là,ˈt̪uːld̪ɑ,,maː˦˥,baɾna,beˈniɾ,ʋa,veˈni,ɐˈtʲɛjːtʲɪ,ˈtulːɑ,tau˥,ˈtulɤɑ,ˈkɔmːa,,an̪a,ʋa:,laːj˧˨ʔ,bʰulo:gam,kɔmə,,pappa,ˈwe.ni.oː,ɡɑl,ˈkɔmən,da.taŋ,,mɔlvä,,,ɒːmæˈd̪æn,ˈtulːɑ,ˈeɾxome,ˈpr̝̊ɪxaːzɛt,liqʰɛd,dataŋ,ʋatʃtʃu,ba:,vəˈni,ɑːn̪ɑː,d͡ʒaː.ʔa,ʋaɾuga,,ʋa,mɔulä,ɔːmædæn,rɑˈt̪ləl,ˈtuldɑ,prʲɪxɐˈdʲitʲ,veˈnire,kɯ̟ᵝɾɯ̟ᵝ,,,nāːkt,hikʲ,,baɾəa:,ver,,aʱ
who,ˈɡdòː,ʾ̥nkṇā,xto,vin,bʰu:mi,,kʰraj˧,puːɨ̯,ktɔ,,oɾi,je:ɾu,kɔj,kvøːr,daat,,,cim,ki,ˈkːiæ,,,xʷɛːr,boɾ,nuɡu,*su,kẽ(j̃),ˈki,,de:ɾ,kuʃ,úɓaːní,,hw,kɐ,kto̞,,kim,ceː,ʋi,,da:ɾə,da:ɾə,ˈkes,ja:ɾu,bəθù,ˈkis,ˈⁿda.ní,,ne,ˈkjen,tukud,,,ˈkukɑ,,ˈtʃen,,ˈxtɔ,,jaarə,ʔaːj˧˧,da:ɾə,vɛm,,ta:ɾa,kʷis,ɔv,veːɐ̯,,piv,min,,,kʰej,ˈken,,ɡdo,jær,siapə,evaru,ja:ɾu,ˈki,kɔːn,mann,a:ɾə,kɔj,be:nonɖu,mi,,,ˈken,kto,k̟i,tare,,,,koː,,ne:du,ed,kɪ̞m,
narrow,ˈòːzək,cṅ̥ʾiat,ˈvuskʲi,vitsʼrɔ,,,kʰɛːp̚˥˩,kɨːl,ˈvɔ̃s.kʲi,,,,,,,,,,e.tʁwa,ˈɑhtːɑkɤnɤ,,,ˈθrøyŋkʏr,,,,iʃ.ˈtɾɐj.tu,ˈsyːk,,,,,,ˈnæɹoʊ,,ˈuːski,,dɑr,kuːŋ,nɑu,narʲiŋ,,,ˈkitsɑs,,t͡ɕɪ́ɴ,ˈoːd̪ɨz,,,,es̺ˈtɾe.tʃo,,strɨmt,,ˈkɑpeɑ,,ˈɑhɑz,,wʊˈzʲkɪi̯,,,hɛp̚˧˨ʔ,,snɛvər,,,anˈɡus.tus,nɛʁ,ɛŋ,,,ndäri,,,,ˈkɑidu,,ˈuːskiː,näχwtsʼi,,,,əsˈtɾət,t̪əŋɡ,dˁaj.jiq,,ˈtɛsɛn,,intsʼrɔ,,,ˈkɑid,ˈuskʲɪj,ˈstretːo,se̞ma̠i,,,ʃàuɾs,kʰɯːɫ̪,,,,ˈtɑr,
fingernail,ˈnóːxt,,paˈznoɣat͡sʲ,pʰrtʃχili,,,lep̚˦˥.mɯː˧,,pazˈnɔ.kʲɛt͡ɕ,,,,nɔkt,,,,nɔːkʰ,,ɔ̃ɡl,ˈkːɨːtsː,,ˈfaŋeʀˌnoːl,nœkl,,sʰo̞ntʰo̞p̚,,ˈu.ɲɐ,ˈkørøm,,,,úːziːpʰo,,ˈfɪŋɡɚˌneɪl,n̪ɐ.kʰɐ́,ˈɲɛxt,,dɯrˈnɑχ,,,xʊms,,,ˈkiːs,,lɛʔθɛ́,ˈkiːɲt̪ʃ,kʰáˈɗa.ɓo,,,ˈu.ɲa,,,,ˈkynsi,,ˈtʃynsi,,,,,mawŋ͡m˧˦,,najl,,,ˈun.ɡʷis,jɛˈʁunɡ,ˈfɪŋɐnaːɡl̩,,,butsχä,,,nɒːxon,ˈkynsi,ˈniçi,,tsχä,kuku,,,ˈuŋ.ɡlə,,ðˁufr,,ˈnɔkət,,birtsχä,nɔːxun,,ˈkynzʲ,ˈnoɡətʲ,ˈun.ɡja,t͡sɨᵝme̞,,,,,,,,tɯ̞rˈnɑq,
belly,ˈtrèːbux,k̥rbḥ,,mutsɛli,ʈeʈʈe,,tʰɔːŋ˦˥,,bʐux,,piɾ,bandʒi,mɛf,,banɖi,,,,vɑ̃tʁ,ˈkːɤtːtː,bɔɪχ,,ˈmaːjɪ,pi:ɾ,pe̞,,bɐ.ˈʁi.ɡɐ,ˈhɒʃ,,peɖʰ,,isíːsu,,bɛli,,ˈbruxɔ,,,ˈbˠɔlˠəɡ,bœy̯k,,poʈʈe,poʈʈi,ˈkɤht,hoṭṭe,baɪʔ,ˈmɑg,ˈmí.ᵐba,,ku:l,bäˈriɣä,pudug,,,ˈmɑhɑ,,ˈvɑtsːɑ,²mɑːɡɛ,,,vayiṟu,ʔɓʊwŋ͡m˧˨ʔ,naɖpe:ʈgu,,,oʈʈe,abˈdoː.men,pʰɔɾ,baʊ̯x,,ˈkofː,kʰɔrbä,,zɐʔ,ʃeˈkʲæm,ˈvɑtʃːɑ,,ˈbr̝ɪxo,qʰæd,pərot,poʈʈa,baiɾu,ˈbuk,peːʈ,ba.tˁa.na,ʋajaɾə,koˈrɛm,ɖokka,kʰɔrä,ʃikæm,nas,ˈvɑts,ʐɨˈvot,ˈpan.t͡ʃa,wi,,,,,banˈduʎo̝,puɖa:,poṭṭa,,pɛt
hand,rɔ̀ːka,ṭai,,χɛli,keju,,mɯː˧,ɬaːu̯,ˈrɛŋ.ka,,koi,kai,,hɔnt,keju,,ɦat̪,el,mɛ̃,ˈkːæsːi,hant,hant,hœnt,kaj,sʰo̞n,,ˈmɐ̃w̃,ˈkeːz,jad,ɖu:,dɔɹ,isáːnɮa,ma,hænd,ɦɐ́s̪.t̪ɐ,ˈruka,,,l̪ˠɑːvˠ,ɦɑnt,ɢar,kaj,ki:ja,ˈkæsi,kaj,lɛʔ,ˈpiv,ˈd͡za.ⁿd͡ʒa,mɯː˦˥,kʰekkʰa,ˈmano,ki:,ˈmɨ.nə,ɾɐŋˈkɐ,ˈkæsi,mɯ˧˩,ˈtʃæsi,hand,rʊˈkɑ,ɦat̪ʰ,kaj,taj˧˧,kaij,hɔnˀ,hɑnd,kaj,ˈma.nus,d͡zɛrkʰ,hant,taŋan,ˈdɔʁn,χɛ,,,dæst,ˈkæsi,ˈçeɾi,ˈruka,ʃi,taŋan,tʃejji,kaj,ˈma,ɦaːt̪ʰ,jad,kaj,rəˈka,kaj,χɛ,,lɑs,ˈkæzi,rʊˈka,ˈmaːno,,,,ɾùoka,ɫ̪ãːv,,ʈeʈu,key,quɫ,
grass,ˈtràːʋa,s̥mau,,bäläχi,,,jaː˥˩,ˈɡlaswɛɬd,ˈtra.va,,,,,kɹɛaːs,,,,ɔt,ɛʁb,ˈhɑin,ɡʁɔz,ɡʀaːs,kraːs,,,*rt͡sʷa,ˈɡɾɐ̃mɐ,ˈfyː,ˈdeʃe,,baɾ,útʃâːni,ˈɛrβo,ɡɹɑːs,t̪ŕ̩.ɳɐ,ˈtraːva,daˈmo,,fʲeːɾˠ,ɣrɑs,ows,,,ˈrohi,,mjɛʔ,ˈɑːinɑ,ˈu.d͡zú,ɲaː˨˩,,ˈpas.to,,ˈjar.bə,ʒoˈlʲeː,ˈruoho,ɲɯ˥,ˈroho,,,,,kɔ˧˩,,,ɡrɑːs,,ˈher.ba,χɔt,ɡʁaːs,,ˈɡɛwt,tʼkʼä,feːə,ħɐˈʃiːʃ,sæbze,ˈheinæ,,ˈtraːva,mɛl,,,,ˈeɾ.bə,,ħa.ʃiːʃ,,trɛˈva,,tʼqʼä,sæbzæ,,ˈhein,trɐˈva,ˈɛrba,kɯ̟̊ᵝsa̠,ɣɛːs,ˈsitnuː,,ˈfiəɾ,ˈɛɾβa̝,,,ʏˈlæn,ɡʱãʱ
sit,ˈsɛdèːti,ʾṅ̥guy,,dʒdɔmä,udə,,naŋ˥˩,ˈei̯sdɛð,ˈɕɛ.d͡ʑɛt͡ɕ,,eɾakkaɾ,kullaɾa,,,,,ˈbɔʃa,,,ˈisːtːmɑ,,,ˈsɪːtja,udda,a̠nt͈a̠,,iʃ.ˈtaɾ,ˈyl,jaˈʃav,tu:ling,ulɛm,,,sɪt,,,ʔu.mu.ˈpoʔ,oturˈmɑχ,sˠɪɟ,ˈzɪtə(n),sʊːx,aɭe,ku:ɾsu,ˈistumɑ,kuɭitiko,tʰàɪɴ,ˈist̪ɨ,,naŋ˧˧,okʰna,senˈtaɾ,undu,,sʲeːˈdʲeːtʲɪ,ˈistuɑ,,ˈisːuɑ,,seˈdʲite,,ukka:ɾə,ŋoj˨˩,bʰulo:gam,seðə,,kuɭəʋə,ˈse.de.oː,nəsˈtɛl,ˈzɪtsn̩,,,dɔχunu,,ʔaˁːt,neʃæsˈt̪ʰæn,ˈistuo,ˈkaθome,ˈsɛɟɛt,lisgwrɛ,dudoʔ,ku:ɾtʃo,iɾaiku,ˈsɛw.ɾə,bɛʈʰnaː,d͡ʒa.la.sa,iɾikkuga,sɛˈdʲɤ,kudda:,dɔχunä,,,ˈiʃtːɑ,sʲɪˈdʲetʲ,seˈdere,sɨᵝɰᵝa̠ɾɯ̟ᵝ,,,,,,hokpo,tūk,,bɔɦ
round,otˈkròːɡəw,,ˈkruɣɫɨ,mrgväli,bubbaɾi,,,krʊn,ɔˈkrɔŋ.ɡwɨ,,uʈʈi,uɾuʈə,,,,,,,ʁɔ̃,ˈtːsːɤːrikː,,,,guɳɖɾal,tuŋɡɯɭda̠,,ʁɨ.ˈdõ.du,ˈkɛrɛk,,go:l peɾi,,,,ˈɹaʊnd,,,,,kɾˠiːnʲ,rɔnt,,uɾuʈa,bəjnsakɾangu:də,ˈymɑr,baṭṭa,wáɪɴ,ˈimːɨr,,,guʈiɳɖa,reˈdondo,tukud,roˈtund,,ˈpyøreæ,,ˈpulskɤɑ,,,,ʋaʈʈam,swɛ˧˧,ʋaʈam,,,,roˈtun.dus,,ʀʊnt,,,mɔrgväli,,,,ˈpyøryɑ,,ˈkulatiː,kʼurpʼi,,guɳɖɾani,uɾuʈu,roˈdo,,,vaṭṭa,,guɳɖɾa:n,rgväli,,ɡərd,ˈkehker,ˈkruɡlɨj,roˈtondo,,,,,kʰruɪɲ,reˈðondo̝,guɖme,tūk,tʏ.ŋæˈræk,
