en,ro
husband,soț
I,eu
idea,idee
identify,identifica
if,dacă
image,imagine
imagine,imagina
impact,efect
important,important
improve,îmbunătăţi
in,în
include,include
including,inclusiv
increase,crește
indeed,intr-adevar
indicate,indica
individual,individual
industry,industrie
information,informație
inside,interior
instead,in schimb
institution,instituţie
interest,interes
interesting,interesant
international,internaţional
interview,interviu
into,în
investment,investiție
involve,implica
issue,problema
it,aceasta
item,articol
its,este
itself,în sine
job,loc de munca
join,a adera
just,doar
keep,a pastra
key,cheie
kid,copil
kill,ucide
kind,drăguț
kitchen,bucătărie
know,ști
knowledge,cunoştinţe
land,teren
language,limba
large,mare
last,ultimul
late,târziu
later,mai tarziu
laugh,a rade
law,lege
lawyer,avocat
lay,pune
lead,conduce
leader,lider
learn,învăța
least,cel mai puţin
leave,părăsi
left,stânga
leg,picior
legal,legal
less,Mai puțin
let,lăsa
letter,scrisoare
level,nivel
lie,minciună
life,viaţă
light,ușoară
like,ca
likely,probabil
line,linia
list,listă
listen,asculta
little,puțin
live,Trăi
local,local
long,lung
look,uite
lose,pierde
loss,pierderi
lot,mult
love,dragoste
low,scăzut
machine,maşină
magazine,revistă
main,principal
maintain,menţine
major,major
majority,majoritate
make,face
man,om
manage,administra
management,administrare
manager,administrator
many,mulți
market,piaţă
marriage,căsătorie
material,material
matter,materie
may,Mai
maybe,poate
me,pe mine
mean,însemna
measure,măsura
media,mass-media
medical,medical
meet,întâlni
meeting,întâlnire
member,membru
memory,memorie
mention,menţiune
message,mesaj
method,metodă
middle,mijloc
might,ar putea
military,militar
million,milion
mind,minte
minute,minut
miss,domnișoară
mission,misiune
model,model
modern,modern
moment,moment
money,bani
month,lună
more,Mai Mult
morning,dimineaţă
most,cel mai
mother,mamă
mouth,gură
move,mișcare
movement,circulaţie
movie,film
Mr,Dl
Mrs,doamna
much,mult
music,muzică
must,trebuie sa
my,mele
myself,eu insumi
name,Nume
nation,naţiune
national,naţional
natural,natural
nature,natură
near,lângă
nearly,aproape
necessary,necesar
need,nevoie
network,reţea
never,nu
new,nou
news,știri
newspaper,ziar
next,Următor →
nice,frumos
night,noapte
no,Nu
none,nici unul
nor,nici
north,Nord
not,nu
note,Notă
nothing,nimic
notice,înștiințare
now,acum
n't,nu
number,număr
occur,avea loc
of,de
off,de pe
offer,oferi
office,birou
officer,ofiţer
official,oficial
often,de multe ori
oh,Oh
oil,ulei
ok,O.K
old,vechi
on,pe
once,o singura data
one,unu
only,numai
onto,pe
open,deschis
operation,operație
opportunity,oportunitate
option,opțiune
or,sau
order,Ordin
organization,organizare
other,alte
others,alții
our,al nostru
out,afară
outside,in afara
over,peste
own,propriu
owner,proprietar
page,pagină
pain,durere
painting,pictură
paper,hârtie
parent,mamă
part,parte
participant,participant
particular,special
particularly,în special
partner,partener
party,partid
pass,trece
past,trecut
patient,rabdator
pattern,model
pay,a plati
peace,pace
people,oameni
per,pe
perform,a executa
performance,performanţă
perhaps,poate
period,perioadă
person,persoană
personal,personal
phone,telefon
physical,fizic
pick,alege
picture,imagine
piece,bucată
place,loc
plan,plan
plant,plantă
play,Joaca
player,jucător
PM,P.M
point,punct
police,politie
policy,politică
political,politic
politics,politică
poor,sărac
popular,popular
population,populație
position,poziţie
positive,pozitiv
possible,posibil
power,putere
practice,practică
prepare,a pregati
present,prezent
president,președinte
pressure,presiune
pretty,frumos
prevent,împiedica
price,Preț
private,privat
probably,probabil
problem,problemă
process,proces
produce,legume și fructe
product,produs
production,producere
professional,profesionist
professor,Profesor
program,program
project,proiect
property,proprietate
protect,proteja
prove,dovedi
provide,furniza
public,public
pull,Trage
purpose,scop
push,Apăsați
put,a pune
quality,calitate
question,întrebare
quickly,repede
quite,destul de
race,cursă
radio,radio
raise,a ridica
range,gamă
rate,rată
rather,mai degraba
reach,a ajunge
read,citit
ready,gata
real,real
reality,realitate
realize,realiza
really,într-adevăr
reason,motiv
receive,a primi
recent,Recent
recently,recent
recognize,recunoaşte
record,record
red,roșu
reduce,reduce
reflect,Reflectați
region,regiune
relate,raporta
relationship,relaţie
religious,religios
remain,rămâne
remember,tine minte
remove,elimina
report,raport
represent,reprezinta
Republican,Republican
require,necesita
research,cercetare
resource,resursă
respond,răspunde
response,raspuns
responsibility,responsabilitate
rest,odihnă
result,rezultat
return,întoarcere
reveal,dezvălui
rich,bogat
right,dreapta
rise,creştere
risk,risc
road,drum
rock,stâncă
role,rol
room,cameră
rule,regulă
run,alerga
safe,sigur
same,la fel
save,Salvați
say,Spune
scene,scenă
school,şcoală
science,ştiinţă
scientist,om de stiinta
score,scor
sea,mare
season,sezon
seat,scaun
second,al doilea
section,secțiune
security,Securitate
see,vedea
seek,căuta
seem,părea
sell,vinde
send,trimite
senior,senior
sense,sens
series,serie
serious,serios
serve,servi
service,serviciu
set,a stabilit
seven,Șapte
several,mai mulți
sex,sex
sexual,sexual
shake,scutura
share,acțiune
she,ea
shoot,trage
short,mic de statura
shot,lovitură
should,ar trebui să
shoulder,umăr
show,spectacol
side,latură
sign,semn
significant,semnificativ
similar,asemănător
simple,simplu
simply,pur şi simplu
since,de cand
sing,cânta
single,singur
sister,soră
sit,sta
site,teren
situation,situatie
six,şase
size,mărimea
skill,calificare
skin,piele
small,mic
smile,zâmbet
so,asa de
social,social
society,societate
soldier,soldat
some,niste
somebody,cineva
someone,cineva
something,ceva
sometimes,uneori
son,fiu
song,cântec
soon,curând
sort,fel
sound,sunet
source,sursă
south,sud
southern,sudic
space,spaţiu
speak,vorbi
special,special
specific,specific
speech,vorbire
spend,petrece
sport,sportiv
spring,primăvară
staff,personal
stage,etapă
stand,stand
standard,standard
star,stea
start,start
state,stat
statement,afirmație
station,statie
stay,stau
step,Etapa
still,încă
stock,stoc
stop,Stop
store,magazin
story,poveste
strategy,strategie
street,stradă
strong,puternic
structure,structura
student,student
study,studiu
stuff,chestie
style,stil
subject,subiect
success,succes
successful,de succes
such,astfel de
suddenly,brusc
suffer,suferi
suggest,sugera
summer,vară
support,a sustine
sure,sigur
surface,suprafaţă
system,sistem
table,masa
take,lua
talk,vorbi
task,sarcină
tax,impozit
teach,a preda
teacher,profesor
team,echipă
technology,tehnologie
television,televiziune
tell,spune
ten,zece
tend,tind
term,termen
test,Test
than,decât
thank,mulțumire
that,acea
the,
their,al lor
them,lor
themselves,înșiși
then,atunci
theory,teorie
there,Acolo
these,aceste
they,ei
thing,lucru
think,gândi
third,al treilea
this,acest
those,acestea
though,deşi
thought,gândire
thousand,mie
threat,amenințare
three,Trei
through,prin
throughout,de-a lungul
throw,arunca
thus,prin urmare
time,timp
to,la
today,astăzi
together,împreună
tonight,astă seară
too,de asemenea
top,top
total,total
tough,greu
toward,spre
town,oraș
trade,comerț
traditional,tradiţional
training,Instruire
travel,călătorie
treat,trata
treatment,tratament
tree,copac
trial,proces
trip,excursie
trouble,bucluc
TRUE,ADEVĂRAT
truth,adevăr
try,încerca
turn,viraj
TV,televizor
two,Două
type,tip
under,sub
understand,a intelege
unit,unitate
until,pana cand
up,sus
upon,pe
us,ne
use,utilizare
usually,de obicei
value,valoare
various,variat
very,foarte
victim,victimă
view,vedere
violence,violenţă
visit,vizita
voice,voce
vote,vot
wait,aștepta
walk,mers pe jos
wall,perete
want,vrei
war,război
watch,ceas
water,apă
way,cale
we,noi
weapon,armă
wear,purta
week,săptămână
weight,greutate
well,bine
west,vest
western,vestic
what,ce
whatever,indiferent de
when,cand
where,Unde
whether,dacă
which,care
while,in timp ce
white,alb
who,care
whole,întreg
whom,pe cine
whose,a caror
why,De ce
wide,larg
wife,soție
will,voi
win,victorie
wind,vânt
window,fereastră
wish,dori
with,cu
within,în
without,fără
woman,femeie
wonder,mirare
word,cuvânt
work,muncă
worker,muncitor
world,lume
worry,face griji
would,ar
write,scrie
writer,scriitor
wrong,gresit
yard,curte
yeah,Da
year,an
yes,da
yet,inca
you,tu
young,tineri
your,ta
yourself,tu
